# # iwNorthAvgTemp,diffuse solar w/m2,direct solar w/m2,OAH %,OAT C,Mull SWT C,Heat Mode,pickedRoofInsuThickness,extWinU,extWinSHGC,intMass,infilRate
1.268206536659999983e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.754999999999999716e+01,-3.625462962999999927e+00,2.979380668579999991e+01,1.000000000000000000e+00,1.751076940000000082e-01,2.977606120299999937e+00,3.723712312999999940e-01,3.474916767319999877e+01,4.492414021999999729e-01
1.965275385809999875e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.699166667000000075e+01,6.223611111000000307e+00,3.040163081000000034e+01,1.000000000000000000e+00,2.702483786000000054e-01,1.872574921200000020e+00,3.263610218999999923e-01,3.038812932000000089e+01,3.533068618999999910e-01
1.489013046790000061e+01,3.085744516000000104e+01,3.541307370000000105e+02,5.680833333000000351e+01,-5.997222222000000436e+00,3.536571012080000287e+01,1.000000000000000000e+00,2.782668878999999817e-01,1.540203970999999949e+00,3.671466784999999899e-01,3.977304447599999904e+00,3.681562937999999785e-01
1.677248039210000030e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.012500000000000000e+01,-6.194444444000000161e+00,3.153018933330000095e+01,1.000000000000000000e+00,1.319728303999999908e-01,2.730139491500000126e+00,6.121646850999999945e-01,4.583368706550000127e+01,3.998861879999999758e-01
2.314313474240000090e+01,1.267945158999999933e+02,4.257114850999999867e+00,7.182500000000000284e+01,-2.131018518999999944e+00,4.358350708329999890e+01,1.000000000000000000e+00,2.673787978000000121e-01,1.790321176500000000e+00,3.536905242999999754e-01,4.470077756000000235e+00,2.602903541000000098e-01
1.716720518649999860e+01,2.015894601000000108e+01,1.061005737999999976e+00,9.928333333000000493e+01,1.218194444000000054e+01,4.538387036999999680e+01,1.000000000000000000e+00,1.660516888999999940e-01,2.768368762800000216e+00,5.573527329999999891e-01,3.488652882040000236e+01,4.701773090999999960e-01
1.837914749859999830e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.920000000000000284e+01,5.071759259000000242e+00,3.111682551919999895e+01,1.000000000000000000e+00,2.350745448000000071e-01,2.748170031099999910e+00,4.221373091000000244e-01,4.824464776760000007e+01,3.388272808000000191e-01
1.516645732379999956e+01,1.824236261000000070e+02,3.408428346000000175e+01,8.959999999999999432e+01,6.591203703999999775e+00,2.601076399080000101e+01,1.000000000000000000e+00,1.373039621999999904e-01,2.430190543600000197e+00,3.369911157000000101e-01,3.184844173560000158e+01,2.778786030000000018e-01
2.009569498309999958e+01,1.027258470999999957e+02,8.071015618999999788e+02,4.760000000000000142e+01,2.241666667000000057e+00,3.905553671250000036e+01,1.000000000000000000e+00,1.842127795000000068e-01,2.563537306200000199e+00,4.116845407999999984e-01,1.409572895089999989e+01,4.710110609000000004e-01
1.941991939909999942e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.661666667000000075e+01,8.701388889000000404e+00,1.934892150419999979e+01,1.000000000000000000e+00,2.132059391999999998e-01,2.547843092599999970e+00,3.437735055000000206e-01,3.352893942179999698e+01,3.928933517000000042e-01
1.922380098949999905e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.054166666999999791e+01,4.256018518000000306e+00,3.554058611079999963e+01,1.000000000000000000e+00,2.829756386000000234e-01,2.862175462600000220e+00,5.487191544999999726e-01,2.886596234740000000e+01,1.758895629999999988e-01
1.825243029039999954e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.690833333000000493e+01,2.085648148000000202e+00,3.246196175000000039e+01,1.000000000000000000e+00,1.331388015999999952e-01,2.057201129200000089e+00,5.085059870000000481e-01,4.698638919369999911e+01,3.244790674999999958e-01
1.901080334579999942e+01,2.003125406999999925e+01,2.218645228000000191e+00,6.966666666999999791e+01,8.499999999999999778e-01,4.264599671250000057e+01,1.000000000000000000e+00,1.085831691999999959e-01,1.709083162099999997e+00,5.292572412999999587e-01,3.536340673499999809e+00,4.959809356000000058e-01
1.616169840299999905e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.903333332999999783e+01,-4.569907406999999644e+00,3.314171467580000296e+01,1.000000000000000000e+00,8.001710139999999860e-02,2.365830755400000207e+00,5.893161506999999855e-01,1.373853955799999937e+01,1.924735801999999940e-01
