,f,c
2017-01-02T15:40:00Z,44.01,6.672222222
2017-01-02T15:45:00Z,44.2,6.777777778
2017-01-02T15:50:00Z,44.38,6.877777778
2017-01-02T15:55:00Z,44.46,6.922222222
2017-01-02T16:00:00Z,44.46,6.922222222
2017-01-02T16:05:00Z,44.37,6.872222222
2017-01-02T16:10:00Z,44.76,7.088888889
2017-01-02T16:15:00Z,44.38,6.877777778
2017-01-02T16:20:00Z,44.69,7.05
2017-01-02T16:25:00Z,44.73,7.072222222
2017-01-02T16:30:00Z,44.71,7.061111111
2017-01-02T16:35:00Z,44.8,7.111111111
2017-01-02T16:40:00Z,44.96,7.2
2017-01-02T16:45:00Z,44.92,7.177777778
2017-01-02T16:50:00Z,45.19,7.327777778
2017-01-02T16:55:00Z,45.25,7.361111111
2017-01-02T17:00:00Z,45.21,7.338888889
2017-01-02T17:05:00Z,45.41,7.45
2017-01-02T17:10:00Z,45.52,7.511111111
2017-01-02T17:15:00Z,45.61,7.561111111
2017-01-02T17:20:00Z,45.61,7.561111111
2017-01-02T17:25:00Z,45.79,7.661111111
2017-01-02T17:30:00Z,45.7,7.611111111
2017-01-02T17:35:00Z,46.02,7.788888889
2017-01-02T17:40:00Z,46.24,7.911111111
2017-01-02T17:45:00Z,45.97,7.761111111
2017-01-02T17:50:00Z,45.97,7.761111111
2017-01-02T17:55:00Z,46.08,7.822222222
2017-01-02T18:00:00Z,45.97,7.761111111
2017-01-02T18:05:00Z,46.13,7.85
2017-01-02T18:10:00Z,46.47,8.038888889
2017-01-02T18:15:00Z,46.44,8.022222222
2017-01-02T18:20:00Z,46.4,8
2017-01-02T18:25:00Z,46.26,7.922222222
2017-01-02T18:30:00Z,46.49,8.05
2017-01-02T18:35:00Z,46.45,8.027777778
2017-01-02T18:40:00Z,46.49,8.05
2017-01-02T18:45:00Z,46.45,8.027777778
2017-01-02T18:50:00Z,46.65,8.138888889
2017-01-02T18:55:00Z,46.65,8.138888889
2017-01-02T19:00:00Z,46.58,8.1
2017-01-02T19:05:00Z,46.62,8.122222222
2017-01-02T19:10:00Z,46.49,8.05
2017-01-02T19:15:00Z,46.69,8.161111111
2017-01-02T19:20:00Z,46.45,8.027777778
2017-01-02T19:25:00Z,46.65,8.138888889
2017-01-02T19:30:00Z,46.78,8.211111111
2017-01-02T19:35:00Z,46.76,8.2
2017-01-02T19:40:00Z,46.96,8.311111111
2017-01-02T19:45:00Z,46.63,8.127777778
2017-01-02T19:50:00Z,46.85,8.25
2017-01-02T19:55:00Z,46.96,8.311111111
2017-01-02T20:00:00Z,47.01,8.338888889
2017-01-02T20:05:00Z,46.94,8.3
2017-01-02T20:10:00Z,46.89,8.272222222
2017-01-02T20:15:00Z,46.85,8.25
2017-01-02T20:20:00Z,46.78,8.211111111
2017-01-02T20:25:00Z,46.69,8.161111111
2017-01-02T20:30:00Z,46.87,8.261111111
2017-01-02T20:35:00Z,46.71,8.172222222
2017-01-02T20:40:00Z,46.8,8.222222222
2017-01-02T20:45:00Z,46.72,8.177777778
2017-01-02T20:50:00Z,46.72,8.177777778
2017-01-02T20:55:00Z,46.6,8.111111111
2017-01-02T21:00:00Z,46.6,8.111111111
2017-01-02T21:05:00Z,46.47,8.038888889
2017-01-02T21:10:00Z,46.53,8.072222222
2017-01-02T21:15:00Z,46.56,8.088888889
2017-01-02T21:20:00Z,46.51,8.061111111
2017-01-02T21:25:00Z,46.51,8.061111111
2017-01-02T21:30:00Z,46.44,8.022222222
2017-01-02T21:35:00Z,46.56,8.088888889
2017-01-02T21:40:00Z,46.4,8
2017-01-02T21:45:00Z,46.49,8.05
2017-01-02T21:50:00Z,46.47,8.038888889
2017-01-02T21:55:00Z,46.56,8.088888889
2017-01-02T22:00:00Z,46.53,8.072222222
