,c
01/15/17 06:00 AM,39.6354041658
01/15/17 07:00 AM,40.0400619908
01/15/17 08:00 AM,40.4111235192
01/15/17 09:00 AM,59.0477290275
01/15/17 10:00 AM,65.0908999992
01/15/17 11:00 AM,40.9114148608
01/15/17 12:00 PM,32.8407780883
01/15/17 01:00 PM,35.9662182867
01/15/17 02:00 PM,36.9184188883
01/15/17 03:00 PM,35.1802108792
01/15/17 04:00 PM,37.5830805508
01/15/17 05:00 PM,38.2607675875
01/15/17 06:00 PM,39.4788812967
01/15/17 07:00 PM,40.4551473158
01/15/17 08:00 PM,32.4034969683
01/15/17 09:00 PM,33.4136446867
01/15/17 10:00 PM,34.7854340275
01/15/17 11:00 PM,35.9061204683
01/16/17 12:00 AM,37.1573839308
01/16/17 01:00 AM,37.7488020742
01/16/17 02:00 AM,38.1673879308
01/16/17 03:00 AM,38.6033842133
01/16/17 04:00 AM,39.0562279158
01/16/17 05:00 AM,39.6094040292
01/16/17 06:00 AM,40.0029479625
01/16/17 07:00 AM,40.443846945
01/16/17 08:00 AM,60.3822294433
01/16/17 09:00 AM,65.7467524992
01/16/17 10:00 AM,54.7511838425
01/16/17 11:00 AM,41.9125029175
01/16/17 12:00 PM,40.0690585167
01/16/17 01:00 PM,37.8846958533
01/16/17 02:00 PM,37.2464642608
01/16/17 03:00 PM,36.9241626575
01/16/17 04:00 PM,36.9976277683
01/16/17 05:00 PM,43.4091791483
01/16/17 06:00 PM,39.8296864333
01/16/17 07:00 PM,39.3559368
01/16/17 08:00 PM,40.0964389817
01/16/17 09:00 PM,31.5020868325
01/16/17 10:00 PM,32.098956495
01/16/17 11:00 PM,32.9669308233
01/17/17 12:00 AM,33.5087948325
01/17/17 01:00 AM,33.9492569433
01/17/17 02:00 AM,34.1004298783
01/17/17 03:00 AM,33.9375488292
01/17/17 04:00 AM,34.512973895
01/17/17 05:00 AM,35.1672652542
01/17/17 06:00 AM,35.1957717458
01/17/17 07:00 AM,35.3058464075
01/17/17 08:00 AM,55.1335536125
01/17/17 09:00 AM,47.36765773
