# iw north average temp C,iw heating energy kWh,diffuse solar w/m2,direct solar w/m2,dew point temp C,OAH %,OAT C,wind direction from north,wind speed m/s,Mull SWT C,Heat Mode
2.373566363000000123e+01,0.000000000000000000e+00,1.904481419999999900e+02,6.284349354999999804e+01,1.097824074000000039e+01,7.459166666999999507e+01,1.545833333000000032e+01,5.683333333000000209e+01,3.539066670000000081e-01,2.410552012920000209e+01,0.000000000000000000e+00
2.175525087000000113e+01,1.970684082000000004e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.132407407000000088e+00,8.801666667000000643e+01,2.920833333000000032e+00,3.040833332999999925e+02,4.246880000000000099e-01,3.358561387079999605e+01,1.000000000000000000e+00
2.104683441999999971e+01,3.447489842000000237e+01,0.000000000000000000e+00,0.000000000000000000e+00,-1.611388888999999836e+01,6.516666666999999791e+01,-1.084583332999999961e+01,2.875000000000000000e+02,2.287354666999999786e+00,3.882047976919999854e+01,1.000000000000000000e+00
2.109223310000000140e+01,2.713019312999999855e+01,0.000000000000000000e+00,0.000000000000000000e+00,-3.292592593000000178e+00,7.700000000000000000e+01,2.629629629999999940e-01,2.102500000000000000e+02,1.750906670000000054e-01,3.781138929669999982e+01,1.000000000000000000e+00
2.023272538000000154e+01,3.869230451000000404e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.122222222000000080e+01,7.386666667000000075e+01,-7.354166667000000324e+00,2.983333332999999925e+02,3.248490666999999998e+00,2.400169955999999871e+01,1.000000000000000000e+00
2.093903833999999975e+01,3.529854251999999804e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.980092593000000178e+00,8.184999999999999432e+01,-1.262499999999999956e+00,3.140000000000000000e+02,1.009565333000000065e+00,2.285830408170000183e+01,1.000000000000000000e+00
2.236776864000000131e+01,5.638141338999999697e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.021388888999999978e+01,6.292499999999999716e+01,-4.209259258999999531e+00,2.833333332999999925e+02,3.017520000000000202e+00,3.793073541500000090e+01,1.000000000000000000e+00
2.135842992999999979e+01,3.415983621999999720e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.193750000000000000e+01,4.355833333000000351e+01,-1.105555555999999884e+00,3.173333332999999925e+02,1.788159999999999750e+00,2.254143696829999755e+01,1.000000000000000000e+00
2.273887786999999960e+01,3.439209965999999952e+01,5.872682866000000246e+01,6.875104833999999698e+01,-1.004305556000000088e+01,5.892499999999999716e+01,-3.150925926000000210e+00,2.845000000000000000e+02,2.302256000000000302e+00,4.779581199079999720e+01,1.000000000000000000e+00
2.427341978000000111e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.228703703999999952e+00,5.361666667000000075e+01,1.455925925999999926e+01,2.450833333000000209e+02,7.189893330000000082e-01,2.381614394420000025e+01,0.000000000000000000e+00
2.193307876000000078e+01,1.487992812999999970e+01,2.102696765999999773e+00,4.470056329999999578e-01,1.007870370000000015e+01,9.884999999999999432e+01,1.023935185000000025e+01,2.107500000000000000e+02,1.974426669999999884e-01,3.087744099080000026e+01,1.000000000000000000e+00
2.212877180999999993e+01,1.349205650999999939e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.433796296000000581e+00,8.597499999999999432e+01,8.638425926000000032e+00,5.366666666999999791e+01,1.527386669999999946e-01,2.973702065330000011e+01,1.000000000000000000e+00
2.284921861999999848e+01,1.594943360000000077e+01,1.648739476000000082e+02,6.837441165999999839e+02,-4.830092592999999823e+00,5.829999999999999716e+01,2.530092593000000001e+00,2.832500000000000000e+02,3.211237333000000138e+00,3.763715490170000066e+01,1.000000000000000000e+00
1.977892007999999890e+01,6.546198979000000406e+01,6.058799708000000095e+01,2.423582316000000105e+02,-1.130787036999999984e+01,6.171666667000000217e+01,-5.102314814999999726e+00,7.641666666999999791e+01,3.390053329999999643e-01,6.088299800920000138e+01,1.000000000000000000e+00
2.198977035000000058e+01,1.434034669000000051e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.513425926000000032e+00,9.480833332999999641e+01,8.289351852000001131e+00,9.708333333000000209e+01,0.000000000000000000e+00,3.056202963079999790e+01,1.000000000000000000e+00
2.283193048000000047e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.270462962999999945e+01,9.781666667000000359e+01,1.302777777999999920e+01,1.965833333000000209e+02,3.352800000000000225e-01,2.302706481499999924e+01,0.000000000000000000e+00
2.168599654999999871e+01,2.088831623000000093e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.251851851999999710e+00,9.586666667000000075e+01,4.851851852000000243e+00,6.466666666999999791e+01,0.000000000000000000e+00,3.516726525420000371e+01,1.000000000000000000e+00
2.278579211999999998e+01,0.000000000000000000e+00,1.530357812999999965e+02,6.433422338999999823e+00,1.116203703999999952e+01,8.096666666999999507e+01,1.438888889000000049e+01,2.046666666999999791e+02,3.319272000000000222e+00,2.457497163500000070e+01,0.000000000000000000e+00
2.340528807999999827e+01,5.998961932999999469e+00,1.761894379999999956e+02,1.693011924000000192e+02,6.599074073999999790e+00,6.441666666999999791e+01,1.315138888999999978e+01,1.610000000000000000e+02,1.680125333000000110e+00,2.852625965749999892e+01,1.000000000000000000e+00
2.134366400000000041e+01,0.000000000000000000e+00,4.139266548999999884e+01,4.311691890000000082e-01,1.184722222000000080e+01,9.316666666999999791e+01,1.291111111000000022e+01,2.775833332999999925e+02,4.470399999999999374e-01,2.229842197670000203e+01,0.000000000000000000e+00
2.084611114000000143e+01,3.886191637999999671e+01,1.115526755999999953e+00,3.476398045999999908e+01,-1.199537036999999984e+01,5.289166666999999933e+01,-3.792592593000000178e+00,3.036666667000000075e+02,1.348570666999999945e+00,4.419482870329999713e+01,1.000000000000000000e+00
2.352316247999999987e+01,3.047251455000000053e+00,1.327826270999999849e+02,8.381226891000000023e+02,-6.002314815000000081e+00,2.875833332999999925e+01,1.151574074000000003e+01,2.879166667000000075e+02,2.410290666999999942e+00,2.388382630919999983e+01,1.000000000000000000e+00
2.167080813999999833e+01,2.198136502999999919e+01,0.000000000000000000e+00,0.000000000000000000e+00,-5.379629630000000162e-01,7.531666667000000359e+01,3.411111111000000307e+00,5.741666666999999791e+01,0.000000000000000000e+00,3.495879316170000095e+01,1.000000000000000000e+00
2.214089953999999949e+01,1.469841798000000033e+01,1.642985749999999996e+02,1.131563139000000007e+01,-2.552314814999999903e+00,4.781666666999999649e+01,7.821759258999999354e+00,2.082500000000000000e+02,1.613069333000000105e+00,3.132565414329999953e+01,1.000000000000000000e+00
2.268876124000000161e+01,1.009502477999999925e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.954166667000000857e+00,8.955833332999999641e+01,7.554166667000000501e+00,3.097500000000000000e+02,8.232986669999999840e-01,2.935362157750000023e+01,1.000000000000000000e+00
2.168527974999999941e+01,4.250290138999999812e+01,1.067070143000000026e+00,1.443663878000000178e+00,-9.897685185000000274e+00,7.864166667000000643e+01,-6.791666667000000324e+00,2.954166667000000075e+02,2.998893333000000272e+00,5.154743374920000321e+01,1.000000000000000000e+00
2.364695309000000023e+01,0.000000000000000000e+00,1.223222243000000020e+02,7.904099670999999994e+00,1.079768518999999927e+01,7.945833333000000209e+01,1.428981482000000014e+01,7.775000000000000000e+01,8.940800000000000136e-02,2.420875833330000049e+01,8.333333330000000649e-02
2.241947404000000077e+01,1.093985746000000070e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.318055556000000017e+00,5.683333333000000209e+01,9.439814815000000081e+00,1.700833333000000209e+02,4.470400000000000068e-02,2.732911851829999961e+01,1.000000000000000000e+00
2.219091681000000094e+01,1.862308296999999868e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.032407409999999970e-01,8.244166667000000359e+01,2.794907406999999733e+00,2.303333333000000209e+02,1.151128000000000151e+00,3.262942242670000326e+01,1.000000000000000000e+00
2.153465492000000125e+01,2.224905402999999993e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.726851852000000243e+00,7.799166667000000075e+01,1.039027777999999991e+01,2.284166666999999791e+02,4.284133332999999766e+00,3.629091899080000161e+01,1.000000000000000000e+00
1.879016104999999826e+01,2.009658014000000037e+01,0.000000000000000000e+00,0.000000000000000000e+00,-1.158842592999999965e+01,5.777499999999999858e+01,-4.529629629999999629e+00,6.716666666999999791e+01,1.341119999999999812e-01,3.171672735670000165e+01,1.000000000000000000e+00
2.278007076999999825e+01,4.297063539999999904e+01,0.000000000000000000e+00,0.000000000000000000e+00,-1.004120370000000051e+01,6.418333332999999641e+01,-4.287037037000000161e+00,2.896666667000000075e+02,1.445429333000000094e+00,5.262784791749999869e+01,1.000000000000000000e+00
2.291299099000000083e+01,3.009631441999999879e+01,2.123260401000000002e+02,2.900831645000000094e+02,-1.080694444999999959e+01,5.817499999999999716e+01,-3.789351851999999798e+00,2.882500000000000000e+02,1.411901333000000092e+00,4.276751273170000189e+01,1.000000000000000000e+00
2.231617639999999980e+01,1.621422429000000065e+01,1.386979321000000027e+02,1.422046520999999952e+00,-7.135648147999999580e+00,3.948333333000000067e+01,5.558333332999999321e+00,1.917500000000000000e+02,1.177205333000000076e+00,3.120253217500000176e+01,1.000000000000000000e+00
2.286612165000000019e+01,1.386729986999999831e+00,1.985829673000000071e+02,1.707423943000000293e+02,2.545370370000000104e+00,5.454999999999999716e+01,1.136898148000000042e+01,1.774166666999999791e+02,5.327226670000000386e-01,2.160006355499999842e+01,5.833333333000000342e-01
2.415482586999999981e+01,0.000000000000000000e+00,2.347470676000000083e+02,2.363890416999999786e+02,1.095694443999999912e+01,6.103333332999999783e+01,1.860416667000000146e+01,2.525833333000000209e+02,8.009466670000000565e-01,2.292959727750000098e+01,0.000000000000000000e+00
2.403006262999999976e+01,0.000000000000000000e+00,1.708706890999999928e+02,2.446431486999999834e+02,1.054537037000000055e+01,7.365000000000000568e+01,1.520462962999999945e+01,1.171666667000000075e+02,1.974426666999999913e+00,2.418071631500000152e+01,0.000000000000000000e+00
2.189095353000000088e+01,2.181355250000000012e+01,0.000000000000000000e+00,0.000000000000000000e+00,-4.078703703999999597e+00,6.932500000000000284e+01,9.000000000000000222e-01,2.825000000000000000e+02,3.278293333000000143e+00,3.407595304170000361e+01,1.000000000000000000e+00
1.949686436000000000e+01,8.019663767999999493e+01,3.054817539000000082e+01,1.777732379000000051e+01,-1.532222222000000045e+01,7.321666666999999507e+01,-1.147916666999999968e+01,2.905000000000000000e+02,6.333066700000000715e-02,6.393290736250000350e+01,1.000000000000000000e+00
2.178149236999999872e+01,1.921045119000000057e+01,0.000000000000000000e+00,0.000000000000000000e+00,3.488888888999999605e+00,9.100000000000000000e+01,4.828703703999999597e+00,2.820000000000000000e+02,3.058498666999999838e+00,3.404587432499999977e+01,1.000000000000000000e+00
2.301869883999999900e+01,2.394876693999999873e+01,3.738876986999999730e+01,1.880504073000000176e+02,-5.727777777999999209e+00,5.724166667000000075e+01,1.827314815000000037e+00,1.505833333000000209e+02,0.000000000000000000e+00,3.826076758749999840e+01,1.000000000000000000e+00
2.305312849999999969e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.671296300000000290e-01,5.086666667000000075e+01,1.039444443999999912e+01,5.708333333000000209e+01,2.943013329999999983e-01,2.299980423999999957e+01,0.000000000000000000e+00
2.052675569999999894e+01,3.054454617000000027e+01,0.000000000000000000e+00,0.000000000000000000e+00,-3.595370369999999927e+00,8.245833333000000209e+01,-9.773148149999999479e-01,1.517500000000000000e+02,4.470400000000000068e-02,4.153279611170000152e+01,1.000000000000000000e+00
2.189095353000000088e+01,2.181355250000000012e+01,0.000000000000000000e+00,0.000000000000000000e+00,-4.078703703999999597e+00,6.932500000000000284e+01,9.000000000000000222e-01,2.825000000000000000e+02,3.278293333000000143e+00,3.407595304170000361e+01,1.000000000000000000e+00
2.127891390999999999e+01,2.454608277999999899e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.428240740999999758e+00,8.811666667000000075e+01,4.217592591999999918e+00,2.407500000000000000e+02,1.631695999999999813e+00,3.726729326419999921e+01,1.000000000000000000e+00
2.241227110000000167e+01,1.132164780999999998e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.238425926000000565e+00,7.879166666999999791e+01,9.735648147999999225e+00,6.700000000000000000e+01,0.000000000000000000e+00,2.824054126829999944e+01,1.000000000000000000e+00
2.168302225000000050e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.266064815000000010e+01,7.719166667000000359e+01,1.665462962999999874e+01,2.096666666999999791e+02,2.302256000000000302e+00,2.183111852249999885e+01,0.000000000000000000e+00
2.345538618999999869e+01,0.000000000000000000e+00,1.327166144999999915e+02,8.868785927000001266e+02,3.961574073999999612e+00,4.664999999999999858e+01,1.530787036999999984e+01,2.285833333000000209e+02,8.791786670000000248e-01,2.225705487500000146e+01,0.000000000000000000e+00
2.521674622999999826e+01,0.000000000000000000e+00,2.518471819000000096e+02,5.036240690000000200e+02,1.123240730000000021e+01,6.262500000000000000e+01,1.848171321999999961e+01,2.658333332999999925e+02,2.581656000000000173e+00,2.366734629579999805e+01,0.000000000000000000e+00
2.193746759000000068e+01,1.854977055000000163e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.415740741000000469e+00,9.029999999999999716e+01,6.887500000000000178e+00,6.133333333000000209e+01,0.000000000000000000e+00,3.362831368999999881e+01,1.000000000000000000e+00
