# iwNorthAvgTemp,heatEnergy,diffuse solar w/m2,direct solar w/m2,dew point temp C,OAH %,OAT C,wind direction from north,wind speed m/s,Mull SWT C,Heat Mode,mullInsulationThickness,mullMetalConductivity,intMass,mullSurfaceArea,elecEquipDensityLow,elecEquipDensityHigh,infilRate
2.169258497359360049e+01,7.909839438352359586e-01,0.000000000000000000e+00,0.000000000000000000e+00,8.437037036999999629e+00,8.536666667000000075e+01,1.078379630000000056e+01,8.716666666999999791e+01,1.613069333000000105e+00,2.977655794000000000e+01,1.000000000000000000e+00,4.668032472693522394e-01,2.370305248398345839e+02,6.358550739189415708e+02,1.617795504386869698e+00,9.314097886351316191e+00,2.023044038228382746e+01,4.706724224764804315e-02
2.241966127164850064e+01,2.130561605703699968e+01,8.283368320000001006e+01,8.299269514999999728e+02,-1.093611111000000058e+01,5.888333332999999925e+01,-4.084722221999999903e+00,2.790000000000000000e+02,1.199557333000000003e+00,4.954511009329999638e+01,1.000000000000000000e+00,2.549149989663098137e-01,1.463778371325867056e+02,3.609535430858327345e+02,1.516871624518970396e+00,2.033693204016606160e+01,4.077337059179863843e+01,2.603465181339091883e-01
2.284261169733619923e+01,0.000000000000000000e+00,1.274858419999999981e+01,3.784066989999999575e-01,1.033518519000000069e+01,9.720000000000000284e+01,1.075185184999999954e+01,9.250000000000000000e+01,6.705599999999999061e-02,2.103007824079999821e+01,0.000000000000000000e+00,4.668032472693522394e-01,2.370305248398345839e+02,6.358550739189415708e+02,1.617795504386869698e+00,9.314097886351316191e+00,2.023044038228382746e+01,4.706724224764804315e-02
2.049856027385749968e+01,8.128979678426700772e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.468055556000000372e+00,5.676666666999999933e+01,2.219444444000000072e+00,2.009166666999999791e+02,6.556586670000000838e-01,3.576042841169999775e+01,1.000000000000000000e+00,2.549149989663098137e-01,1.463778371325867056e+02,3.609535430858327345e+02,1.516871624518970396e+00,2.033693204016606160e+01,4.077337059179863843e+01,2.603465181339091883e-01
2.168902034352889885e+01,1.912769773005049911e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.814814815000000081e+00,8.860833332999999357e+01,4.529629629999999629e+00,6.075000000000000000e+01,0.000000000000000000e+00,3.350879483250000135e+01,1.000000000000000000e+00,4.668032472693522394e-01,2.370305248398345839e+02,6.358550739189415708e+02,1.617795504386869698e+00,9.314097886351316191e+00,2.023044038228382746e+01,4.706724224764804315e-02
2.154982959381800001e+01,2.836289988357529879e+01,1.301425175999999908e+02,5.921010242999999491e+02,-1.348750000000000071e+01,6.679999999999999716e+01,-8.416203703999999064e+00,2.803333332999999925e+02,9.052559999999999496e-01,4.253093550999999906e+01,1.000000000000000000e+00,3.209583952475748847e-02,3.432146396573123752e+02,9.223069813967083519e+02,1.180345093083905672e+00,1.451145140343675166e+01,3.231852567394417264e+01,1.893638914955763641e-01
2.010767724463709882e+01,1.291137639880600041e+01,1.032908249000000112e+00,3.797553949999999956e-01,5.537037040000000188e-01,7.700000000000000000e+01,4.222685184999999564e+00,2.956666667000000075e+02,6.966373329999999697e-01,2.594696859829999980e+01,1.000000000000000000e+00,3.209583952475748847e-02,3.432146396573123752e+02,9.223069813967083519e+02,1.180345093083905672e+00,1.451145140343675166e+01,3.231852567394417264e+01,1.893638914955763641e-01
2.203584790525840020e+01,7.502134572895900355e+00,0.000000000000000000e+00,0.000000000000000000e+00,-4.200925926000000032e+00,7.902500000000000568e+01,-1.024999999999999911e+00,2.446666666999999791e+02,1.657773333000000182e+00,3.271643466999999816e+01,1.000000000000000000e+00,3.209583952475748847e-02,3.432146396573123752e+02,9.223069813967083519e+02,1.180345093083905672e+00,1.451145140343675166e+01,3.231852567394417264e+01,1.893638914955763641e-01
2.241889104693759904e+01,2.185180643747380103e+01,1.361271045000000015e+02,1.171805509000000001e+01,-9.475462963000000016e+00,7.257500000000000284e+01,-5.321296295999999870e+00,2.311666666999999791e+02,1.370922666999999873e+00,5.476096574000000317e+01,1.000000000000000000e+00,4.668032472693522394e-01,2.370305248398345839e+02,6.358550739189415708e+02,1.617795504386869698e+00,9.314097886351316191e+00,2.023044038228382746e+01,4.706724224764804315e-02
1.898163417590340174e+01,9.945443273364400483e+00,4.308971135000000174e+00,6.707494245000000355e+00,-7.100462962999999128e+00,7.854166666999999791e+01,-3.918518518999999589e+00,2.845833332999999925e+02,3.133005333000000281e+00,5.581770199079999628e+01,1.000000000000000000e+00,2.549149989663098137e-01,1.463778371325867056e+02,3.609535430858327345e+02,1.516871624518970396e+00,2.033693204016606160e+01,4.077337059179863843e+01,2.603465181339091883e-01
2.523600450211879931e+01,0.000000000000000000e+00,2.705170634999999493e+02,2.888287306999999942e+02,1.108287037000000019e+01,6.335000000000000142e+01,1.813657407000000177e+01,1.318333332999999925e+02,1.966975999999999836e+00,2.454196751829999812e+01,0.000000000000000000e+00,3.209583952475748847e-02,3.432146396573123752e+02,9.223069813967083519e+02,1.180345093083905672e+00,1.451145140343675166e+01,3.231852567394417264e+01,1.893638914955763641e-01
2.169898415455289964e+01,6.326696412054170215e-01,0.000000000000000000e+00,0.000000000000000000e+00,8.099537037000001050e+00,9.763333332999999925e+01,8.445370369999999127e+00,2.120000000000000000e+02,0.000000000000000000e+00,3.140729626750000136e+01,1.000000000000000000e+00,4.668032472693522394e-01,2.370305248398345839e+02,6.358550739189415708e+02,1.617795504386869698e+00,9.314097886351316191e+00,2.023044038228382746e+01,4.706724224764804315e-02
2.355739114760089947e+01,5.146226404635769747e-01,0.000000000000000000e+00,0.000000000000000000e+00,-9.256481480999999789e+00,3.080833332999999996e+01,6.775000000000000355e+00,1.057500000000000000e+02,2.756746669999999844e-01,2.052071252420000036e+01,1.000000000000000000e+00,3.209583952475748847e-02,3.432146396573123752e+02,9.223069813967083519e+02,1.180345093083905672e+00,1.451145140343675166e+01,3.231852567394417264e+01,1.893638914955763641e-01
2.010644402501860029e+01,1.264405199335370078e+01,2.399663341000000116e+01,2.391511819000000205e+00,5.546296299999999846e-01,7.648333332999999357e+01,4.319907406999999644e+00,2.913333332999999925e+02,1.285239999999999938e+00,3.441699579170000334e+01,1.000000000000000000e+00,3.209583952475748847e-02,3.432146396573123752e+02,9.223069813967083519e+02,1.180345093083905672e+00,1.451145140343675166e+01,3.231852567394417264e+01,1.893638914955763641e-01
2.316874822183180171e+01,4.410496722905939970e-01,2.204422856000000053e+01,1.602420079000000044e+02,2.629629629999999940e-01,4.754999999999999716e+01,1.099444444000000054e+01,1.177500000000000000e+02,1.266613330000000148e-01,2.263315217079999897e+01,1.000000000000000000e+00,4.668032472693522394e-01,2.370305248398345839e+02,6.358550739189415708e+02,1.617795504386869698e+00,9.314097886351316191e+00,2.023044038228382746e+01,4.706724224764804315e-02
2.340453178340429830e+01,2.153224745099729942e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.075925926000000032e+00,5.378333332999999783e+01,1.000231482000000049e+01,4.325000000000000000e+01,2.235200000000000034e-02,2.409983235170000171e+01,1.000000000000000000e+00,4.668032472693522394e-01,2.370305248398345839e+02,6.358550739189415708e+02,1.617795504386869698e+00,9.314097886351316191e+00,2.023044038228382746e+01,4.706724224764804315e-02
2.255248784524519934e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.199027785000000002e+01,8.199166741000000513e+01,1.502685164999999934e+01,1.401666666999999791e+02,3.799840099999999832e-01,2.402094810170000017e+01,0.000000000000000000e+00,4.668032472693522394e-01,2.370305248398345839e+02,6.358550739189415708e+02,1.617795504386869698e+00,9.314097886351316191e+00,2.023044038228382746e+01,4.706724224764804315e-02
2.096824938985189846e+01,5.163813274025569910e+01,0.000000000000000000e+00,0.000000000000000000e+00,-1.134629630000000056e+01,6.705833332999999641e+01,-6.231481481000000322e+00,2.534166666999999791e+02,9.276079999999999881e-01,6.368488726920000431e+01,1.000000000000000000e+00,2.549149989663098137e-01,1.463778371325867056e+02,3.609535430858327345e+02,1.516871624518970396e+00,2.033693204016606160e+01,4.077337059179863843e+01,2.603465181339091883e-01
2.308356243915159922e+01,1.890902615613079929e+00,1.175730037999999951e+02,8.811135427999998910e+02,-9.770833332999998788e+00,4.526666666999999933e+01,7.300925929999999564e-01,2.919166667000000075e+02,2.469895999999999869e+00,2.823697360999999972e+01,1.000000000000000000e+00,3.209583952475748847e-02,3.432146396573123752e+02,9.223069813967083519e+02,1.180345093083905672e+00,1.451145140343675166e+01,3.231852567394417264e+01,1.893638914955763641e-01
1.932831551310459872e+01,3.522845781931059861e+01,4.876108899999999835e+01,9.900361228000000438e+02,-1.538657406999999999e+01,7.809999999999999432e+01,-1.234305555999999982e+01,2.815833332999999925e+02,2.499698667000000096e+00,6.558474199079999778e+01,1.000000000000000000e+00,3.209583952475748847e-02,3.432146396573123752e+02,9.223069813967083519e+02,1.180345093083905672e+00,1.451145140343675166e+01,3.231852567394417264e+01,1.893638914955763641e-01
2.490752210967049862e+01,4.161445501193480112e+00,1.138396429000000012e+02,8.073455512000000454e+02,-9.450462962999999661e+00,4.320833333000000209e+01,1.735648148000000113e+00,8.050000000000000000e+01,5.662506670000000408e-01,2.993043190579999902e+01,1.000000000000000000e+00,2.549149989663098137e-01,1.463778371325867056e+02,3.609535430858327345e+02,1.516871624518970396e+00,2.033693204016606160e+01,4.077337059179863843e+01,2.603465181339091883e-01
2.195172640113899831e+01,3.181830338907809974e+01,1.213777576000000025e+01,1.701378443000000074e+00,-4.209722221999999903e+00,7.294166667000000359e+01,6.388888900000000426e-02,2.803333332999999925e+02,4.407069332999999922e+00,5.674431689829999925e+01,1.000000000000000000e+00,4.668032472693522394e-01,2.370305248398345839e+02,6.358550739189415708e+02,1.617795504386869698e+00,9.314097886351316191e+00,2.023044038228382746e+01,4.706724224764804315e-02
2.278913545864839918e+01,6.685820875126210483e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.026851852000000065e+00,8.629166666999999791e+01,8.171759258999999886e+00,2.548333333000000209e+02,3.837093329999999858e-01,2.721239074080000009e+01,1.000000000000000000e+00,3.209583952475748847e-02,3.432146396573123752e+02,9.223069813967083519e+02,1.180345093083905672e+00,1.451145140343675166e+01,3.231852567394417264e+01,1.893638914955763641e-01
