# # iwNorthAvgTemp,heatEnergy,diffuse solar w/m2,direct solar w/m2,OAH %,OAT C,Mull SWT C,Heat Mode,mullInsulationThickness,mullMetalConductivity,intMass,mullSurfaceArea,elecEquipDensityLow,elecEquipDensityHigh,infilRate
2.692629877338760025e+01,0.000000000000000000e+00,7.081006080000000225e+01,1.802786465999999876e+01,4.895833333000000209e+01,1.869074073999999897e+01,2.361221089420000041e+01,0.000000000000000000e+00,3.550644501176755119e-01,3.824745385848549972e+02,2.488629548937319100e+02,1.369440708045216226e+00,5.881771610483768953e+00,4.380761427415533404e+01,8.461497523241283403e-02
2.254510874396110154e+01,1.530570174464019928e+01,2.582491502999999966e+01,1.407462183000000033e+00,9.864166667000000643e+01,8.395370370000000193e+00,3.392750592080000160e+01,1.000000000000000000e+00,2.195741459178415511e-01,3.318359408615292523e+02,7.837499937268571557e+02,1.678012785487429825e+00,8.861011911174397682e+00,2.424881195744373841e+01,1.359241099208108317e-01
1.824596958177249917e+01,6.339938613885330199e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.274166667000000075e+01,2.325462963000000105e+00,3.544419886170000211e+01,1.000000000000000000e+00,4.063413522555805457e-01,2.109140158700995755e+02,8.038763651542819844e+02,1.266819716874427071e+00,8.932193601083906032e+00,4.012456243543273615e+01,1.701472237397200216e-01
2.411247815940389927e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.043333332999999641e+01,1.483842592999999965e+01,2.461246897670000067e+01,0.000000000000000000e+00,1.579992494323497476e-01,1.663945449291182115e+02,7.368937873960269371e+02,1.376615419229316517e+00,1.293904908163129264e+01,2.195349077987773967e+01,1.501537775258308116e-01
1.927888473703400152e+01,5.145128267397299560e+00,5.961226680000000222e-01,2.238346739999999835e-01,8.069166667000000359e+01,-1.996759259000000064e+00,4.127794953749999962e+01,1.000000000000000000e+00,2.965155973152411306e-01,3.180932563086835785e+02,2.035243933062714063e+02,1.209999986637269043e+00,2.058459146752312563e+01,4.032196292409319938e+01,5.532415514552131708e-02
2.198409796193159949e+01,1.612140594792570170e+01,1.757423760000000001e+00,1.081847581999999903e+02,4.912500000000000000e+01,-3.573148148000000024e+00,5.289660606329999837e+01,1.000000000000000000e+00,3.242349271006626094e-02,2.565399419497159101e+02,6.412081883981616102e+02,1.610182259300084295e+00,1.309654546333897507e+01,2.593586959525311642e+01,3.226415012120161657e-02
2.032389080414370142e+01,1.050022535815540081e+01,1.123567285999999825e+02,6.231609049000000056e+01,8.178333333000000493e+01,-6.750000000000000444e-01,4.031973314830000277e+01,1.000000000000000000e+00,3.011740025062275561e-01,9.728913332728782848e+01,6.613154707074929775e+02,1.292035681506295219e+00,1.116675622048654049e+01,4.857144112092520771e+01,8.277946387092165181e-02
1.917628178925230031e+01,8.713513507542570480e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.635833333000000067e+01,-4.567592593000000534e+00,3.151571414749999889e+01,1.000000000000000000e+00,2.375861582712441855e-01,3.902830721281796968e+02,5.719818649161395570e+02,1.426682770730602012e+00,1.493014108776623949e+01,2.772484630246859538e+01,2.975428648434845225e-01
2.133060023727849952e+01,7.561132939132879649e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.378333333000000493e+01,-2.303240740999999758e+00,3.080897148500000071e+01,1.000000000000000000e+00,4.004518020712058424e-01,6.226520703808391488e+01,9.551939143617929631e+02,1.451606588196307834e+00,8.224110399044825215e+00,4.222193646397476385e+01,2.637276002979210277e-01
2.092996850445869939e+01,1.064531429557039921e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.932500000000000284e+01,9.000000000000000222e-01,3.407595304170000361e+01,1.000000000000000000e+00,4.314166757270016528e-01,1.897283769311752053e+02,9.443143951017214022e+02,1.672899401123266294e+00,1.719165065352243715e+01,4.402542822003007927e+01,2.896050610671280778e-01
2.396841443649429948e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.680833332999999641e+01,1.361481481000000038e+01,2.404774834250000026e+01,0.000000000000000000e+00,2.089916050618286225e-01,2.204078228077858910e+02,8.438923225207487349e+02,1.642286906489160980e+00,2.320471867228607010e+01,3.939044925995026603e+01,8.194441961147595765e-02
2.607451659850989856e+01,7.094990979435899625e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.977500000000000568e+01,-4.343981482000000227e+00,2.314244446329999860e+01,1.000000000000000000e+00,3.002013997352008801e-01,2.486463320304040963e+02,2.769848086242827776e+02,1.663265706255842247e+00,2.305157659148163063e+01,3.407197938764103640e+01,5.764570758207000767e-02
