Date/Time,EMS:IW North Zone Average Temperature [C](TimeStep),EMS:IW North Zone Average Temperature [C](Hourly),EMS:IW Calculated Heating Demand [KW](TimeStep),EMS:IW Calculated Heating Energy [KWH](Hourly),TEMPHWLOOP SUPPLY SIDE OUTLET:System Node Temperature [C](TimeStep),TEMPHWLOOP DEMAND SIDE INLET BRANCH PIPE OUTLET:System Node Temperature [C](TimeStep) 
 01/01  09:35:00,21.4707531741,,47.9435172316,,62.56102667,62.6860002734
 01/01  09:40:00,21.5265675168,,47.6682419331,,62.62498667,62.6286706303
 01/01  09:45:00,21.5794976184,,47.3296296448,,62.33688333,62.5152931956
 01/01  09:50:00,21.6314839548,,43.2161116755,,57.88719167,60.6845109366
 01/01  09:55:00,21.6727430601,,35.7211732924,,55.0219945474,57.7510310361
 01/01  10:00:00,21.6938337441,21.406190122,32.1237399507,44.662351295,53.2223111011,55.2704266051
 01/01  10:05:00,21.6951723058,,29.8674708332,,51.3590248494,53.2115207403
 01/01  10:10:00,21.6716589655,,27.6339697653,,49.6098164134,51.3247965402
 01/01  10:15:00,21.660582077,,25.3096667512,,48.0350204459,49.6573113488
 01/01  10:20:00,21.6630203553,,22.8691286432,,46.5074545063,47.9977979127
 01/01  10:25:00,21.6478694917,,20.7324130754,,45.1347966406,46.4862781281
 01/01  10:30:00,21.6204089235,,18.8943682682,,43.8641483121,45.0601300596
 01/01  10:35:00,21.5959354927,,17.298331614,,42.7806858577,43.8597888374
 01/01  10:40:00,21.5766164819,,15.9688200039,,41.7744631808,42.7656353443
 01/01  10:45:00,21.5565697152,,14.7787918992,,40.8415602783,41.7573124571
 01/01  10:50:00,21.5388305008,,13.6605733686,,39.9787065497,40.8253525104
 01/01  10:55:00,21.5209554142,,12.631424943,,39.1813406507,39.9638621714
 01/01  11:00:00,21.4978477138,21.6037889531,11.7749290104,19.2849906813,38.4391002854,39.1656102341
 01/01  11:05:00,21.4733830228,,11.1850229862,,37.7348252725,38.4186577012
 01/01  11:10:00,21.4479597339,,10.2940158878,,37.0809917027,37.7190803777
 01/01  11:15:00,21.4142445924,,9.6817445792,,36.4726725432,37.0673384093
 01/01  11:20:00,21.3847785645,,9.5317853887,,35.8754227641,36.4488260983
 01/01  11:25:00,21.3548492362,,9.0146002545,,35.3016061757,35.8528483509
 01/01  11:30:00,21.3173321976,,8.7925893729,,34.7489943447,35.2795857619
 01/01  11:35:00,21.287869234,,8.3716743949,,34.2179524251,34.7284391591
 01/01  11:40:00,21.2571828094,,8.1981335072,,33.7026918846,34.1963241377
 01/01  11:45:00,21.2337662506,,7.7697380474,,33.2092332795,33.6836451326
