Date/Time,EMS:IW North Zone Average Temperature [C](TimeStep),CMU DISTRICTHEATING:District Heating Hot Water Energy [J](Hourly) 
 01/10  01:00:00,21.1064925077251,0.0 
 01/10  02:00:00,20.8693692991597,0.0 
 01/10  03:00:00,20.6291519622261,0.0 
 01/10  04:00:00,20.3963247747116,677097694.067029 
 01/10  05:00:00,20.288934095797,467527050.713061 
 01/10  06:00:00,20.3057510044503,304860538.518903 
 01/10  07:00:00,20.3565933017449,212843250.011358 
 01/10  08:00:00,20.3757356599321,181522289.103035 
 01/10  09:00:00,20.3978428293719,185884946.955422 
 01/10  10:00:00,20.6284398750783,190882731.095721 
 01/10  11:00:00,20.9281730046854,188996678.913155 
 01/10  12:00:00,21.2448965132234,186983227.982907 
 01/10  13:00:00,21.5657625808572,185864443.569047 
 01/10  14:00:00,21.8652304432743,0.0 
 01/10  15:00:00,22.1154993204938,0.0 
 01/10  16:00:00,22.2485861421038,0.0 
 01/10  17:00:00,22.3352421626735,0.0 
 01/10  18:00:00,22.4217324731679,0.0 
 01/10  19:00:00,22.4148568749716,0.0 
 01/10  20:00:00,22.3957638860139,8851287.87226134 
 01/10  21:00:00,22.3722042062087,27394492.5165287 
 01/10  22:00:00,22.3455762376017,0.0 
 01/10  23:00:00,22.3056999885726,0.0 
 01/10  24:00:00,22.2624608773754,0.0 
 01/11  01:00:00,22.2002195875502,0.0 
 01/11  02:00:00,22.134509516798,0.0 
 01/11  03:00:00,22.0782169273137,0.0 
 01/11  04:00:00,22.0082910180677,0.0 
 01/11  05:00:00,21.9290819782414,0.0 
 01/11  06:00:00,21.8348518584851,0.0 
 01/11  07:00:00,21.721077423428,0.0 
 01/11  08:00:00,21.591103451133,0.0 
 01/11  09:00:00,21.4490582318713,868756392.392472 
 01/11  10:00:00,21.3890994197135,632273544.172381 
 01/11  11:00:00,21.6774794476447,404921822.396967 
 01/11  12:00:00,22.1924877729645,0.0 
 01/11  13:00:00,22.9476113529561,0.0 
 01/11  14:00:00,23.5120722257671,0.0 
 01/11  15:00:00,23.0536140791376,0.0 
 01/11  16:00:00,22.5637001948828,0.0 
 01/11  17:00:00,22.3434430226885,0.0 
 01/11  18:00:00,22.1624293016633,0.0 
 01/11  19:00:00,21.9761209230348,0.0 
 01/11  20:00:00,21.7558600698676,0.0 
 01/11  21:00:00,21.5027331424719,0.0 
 01/11  22:00:00,21.9491491775064,0.0 
 01/11  23:00:00,22.4851192285184,0.0 
 01/11  24:00:00,22.3121613628535,0.0 
 01/12  01:00:00,21.9867945483415,0.0 
 01/12  02:00:00,21.7934014324169,0.0 
 01/12  03:00:00,21.6897999374999,0.0 
 01/12  04:00:00,21.6123780548252,0.0 
 01/12  05:00:00,21.5426478510449,0.0 
 01/12  06:00:00,21.4804791649621,0.0 
 01/12  07:00:00,21.422767710137,0.0 
 01/12  08:00:00,21.3731393135715,0.0 
 01/12  09:00:00,21.3261862948727,0.0 
 01/12  10:00:00,21.2879327056795,0.0 
 01/12  11:00:00,21.2574438410484,0.0 
 01/12  12:00:00,21.2427306985209,0.0 
 01/12  13:00:00,21.2318263088752,0.0 
 01/12  14:00:00,21.2876701247381,0.0 
 01/12  15:00:00,21.3409561997811,0.0 
 01/12  16:00:00,21.3661947489926,0.0 
 01/12  17:00:00,21.3938243473641,0.0 
 01/12  18:00:00,21.3939211738226,0.0 
 01/12  19:00:00,21.3256822951402,0.0 
 01/12  20:00:00,21.1995598455225,0.0 
 01/12  21:00:00,21.0904702056461,0.0 
 01/12  22:00:00,21.0058851806244,0.0 
 01/12  23:00:00,20.8581916597314,0.0 
 01/12  24:00:00,21.2339251180746,0.0 
 01/13  01:00:00,21.5296365354648,0.0 
 01/13  02:00:00,21.6429701776632,0.0 
 01/13  03:00:00,21.6705686336545,0.0 
 01/13  04:00:00,21.6147966707944,0.0 
 01/13  05:00:00,21.5662914504359,0.0 
 01/13  06:00:00,21.4635014261502,0.0 
 01/13  07:00:00,21.3660740656948,0.0 
 01/13  08:00:00,21.2572452427018,0.0 
 01/13  09:00:00,21.0936061716709,834630232.513584 
 01/13  10:00:00,21.0321665699194,612195832.918754 
 01/13  11:00:00,21.3019293397369,396358516.713941 
 01/13  12:00:00,22.0581510705188,0.0 
 01/13  13:00:00,22.837428949174,0.0 
 01/13  14:00:00,23.2838669951255,0.0 
 01/13  15:00:00,23.6224151705801,0.0 
 01/13  16:00:00,23.7664441747312,0.0 
 01/13  17:00:00,23.8297501817991,0.0 
 01/13  18:00:00,23.8193099240112,0.0 
 01/13  19:00:00,23.6469463020593,0.0 
 01/13  20:00:00,23.4015037081924,0.0 
 01/13  21:00:00,23.1775526464138,0.0 
 01/13  22:00:00,22.9493529566293,0.0 
 01/13  23:00:00,22.7057679900283,0.0 
 01/13  24:00:00,22.4420027610582,0.0 
 01/14  01:00:00,22.1692121446908,0.0 
 01/14  02:00:00,21.898808455677,0.0 
 01/14  03:00:00,21.6253676033108,0.0 
 01/14  04:00:00,21.3386238457423,0.0 
 01/14  05:00:00,21.0519627426718,0.0 
 01/14  06:00:00,20.8183897857714,0.0 
 01/14  07:00:00,20.6412383556212,0.0 
 01/14  08:00:00,20.472563293822,0.0 
 01/14  09:00:00,20.3027129753672,1028429758.33198 
 01/14  10:00:00,20.2343446045711,741027233.250928 
 01/14  11:00:00,20.5031034607902,467288968.214871 
 01/14  12:00:00,20.9070391569509,318425718.176306 
 01/14  13:00:00,21.349072357963,247750542.275328 
 01/14  14:00:00,21.7941807712154,0.0 
 01/14  15:00:00,22.2753049674358,0.0 
 01/14  16:00:00,22.5852762240739,0.0 
 01/14  17:00:00,22.6424729395252,33525072.6695774 
 01/14  18:00:00,22.6200673849186,87628879.840339 
 01/14  19:00:00,22.5804884485763,116420146.446754 
 01/14  20:00:00,22.5435596539034,118840295.696291 
 01/14  21:00:00,22.5082762837783,0.0 
 01/14  22:00:00,22.4634982862918,0.0 
 01/14  23:00:00,22.4028029767789,0.0 
 01/14  24:00:00,22.3260627143378,0.0 
 01/15  01:00:00,22.2374564821442,0.0 
 01/15  02:00:00,22.1363933629661,0.0 
 01/15  03:00:00,22.025584082289,0.0 
 01/15  04:00:00,21.8946297364653,0.0 
 01/15  05:00:00,21.7490420304552,0.0 
 01/15  06:00:00,21.5670142100254,0.0 
 01/15  07:00:00,21.3057722364186,0.0 
 01/15  08:00:00,21.0413942533502,0.0 
 01/15  09:00:00,20.7735131054683,0.0 
 01/15  10:00:00,20.5559077219435,924188558.036046 
 01/15  11:00:00,20.6407383400575,637870479.321329 
 01/15  12:00:00,21.1414895895971,407516658.159514 
 01/15  13:00:00,22.3388391665833,0.0 
 01/15  14:00:00,23.2009880153998,0.0 
 01/15  15:00:00,23.3867497175877,0.0 
 01/15  16:00:00,23.4581322860981,0.0 
 01/15  17:00:00,23.4861129547689,0.0 
 01/15  18:00:00,23.4521260588308,0.0 
 01/15  19:00:00,23.3211762789436,0.0 
 01/15  20:00:00,23.1623600106634,0.0 
 01/15  21:00:00,22.9869354141796,0.0 
 01/15  22:00:00,22.778427546336,0.0 
 01/15  23:00:00,22.5439727868569,0.0 
 01/15  24:00:00,22.2845810165977,0.0 
 01/16  01:00:00,22.0031491910822,0.0 
 01/16  02:00:00,21.7489144132985,0.0 
 01/16  03:00:00,21.5386552845677,0.0 
 01/16  04:00:00,21.3747351354606,0.0 
 01/16  05:00:00,21.199793280579,0.0 
 01/16  06:00:00,20.9629572688943,0.0 
 01/16  07:00:00,20.6417158463992,0.0 
 01/16  08:00:00,20.3265256835944,1031950277.45828 
 01/16  09:00:00,20.1949961663378,713881824.881463 
 01/16  10:00:00,20.7510072176674,453160915.647572 
 01/16  11:00:00,21.840360849388,36995113.7529849 
 01/16  12:00:00,22.720124479222,0.0 
