# # iwNorthAvgTemp,heatEnergy,diffuse solar w/m2,direct solar w/m2,OAH %,OAT C,Mull SWT C,Heat Mode,mullInsulationThickness,mullMetalConductivity,intMass,mullSurfaceArea,elecEquipDensityAll,infilRate
2.248302586513139900e+01,3.130744610863629873e+01,1.234916081999999875e+02,1.459988631999999953e+01,8.686666667000000075e+01,3.641666666999999968e+00,3.938722476830000119e+01,1.000000000000000000e+00,2.054148236175256000e-03,2.985350363004462224e+02,7.559195504900125115e+02,1.647050783908395433e+00,9.493123049177505379e+00,1.920600217375681429e-01
2.135426498900359960e+01,2.177296412878489917e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.834999999999999432e+01,2.313888889000000226e+00,3.522463400830000069e+01,1.000000000000000000e+00,1.948868112623838508e-03,3.158801091062522346e+02,9.305979454710156915e+02,1.507397508384403118e+00,7.792230197820033233e+00,1.116809569807403618e-01
2.193072984895169952e+01,6.275297450408119815e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.714166666999999933e+01,2.587962963000000283e+00,3.224102505580000155e+01,1.000000000000000000e+00,4.937953161234731429e-03,1.058649356336598828e+02,9.451875893828423614e+02,1.217848921788699634e+00,2.509385797093330339e+01,1.146491572321186869e-01
2.459425309895519973e+01,6.282187741472160525e-01,1.253389565999999888e+02,9.671093457000001337e+00,7.079166666999999791e+01,1.357592593000000036e+01,2.200156731419999900e+01,1.000000000000000000e+00,4.456154190051481861e-03,3.264506714370371583e+02,5.535090777825314490e+02,1.362816243929690252e+00,2.969912791837981558e+01,3.080655196528001016e-02
1.709651910090169835e+01,3.750231242979040047e+01,4.167500236000000058e+01,3.005665048000000183e+02,8.604999999999999716e+01,-2.172685185000000185e+00,5.904772902749999730e+01,1.000000000000000000e+00,3.059798598953530728e-03,1.371624077057318232e+02,6.906694787131583553e+02,1.142369873535160618e+00,9.028560541502741899e+00,2.946716752882992396e-01
2.359416945725680037e+01,2.989825542819259852e+01,2.151557616999999993e+02,2.752153086999999800e+02,6.202499999999999858e+01,-1.407407408000000082e+00,3.998238953749999780e+01,1.000000000000000000e+00,3.534704941466422674e-03,2.310996819988541802e+02,5.669679504757100403e+02,1.714315808207854674e+00,2.747673794818886961e+01,2.450888032555400275e-01
2.602257694375289887e+01,1.482979807643699921e+01,1.064832567000000019e+01,2.578988916999999770e+00,6.029999999999999716e+01,1.311203704000000059e+01,3.207671396920000007e+01,1.000000000000000000e+00,1.270471030214028775e-03,2.179504553998091012e+02,5.278352409151444817e+02,1.674673563847891122e+00,4.286133314729883637e+01,2.465156709163528193e-01
2.501225556730580024e+01,6.476542484456840221e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.973333333000000067e+01,9.014814814999999371e+00,2.776947715249999860e+01,1.000000000000000000e+00,3.531946939555875593e-03,3.677244982498125978e+02,6.549486991152982682e+02,1.382172781828908903e+00,3.826653327129484694e+01,7.823042429720233892e-02
2.683455539660220168e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.829999999999999716e+01,1.525462963000000016e+01,2.426340367250000085e+01,0.000000000000000000e+00,3.368527274886839919e-03,3.910308707911439114e+02,6.628908594067351032e+02,1.195229617088325869e+00,4.373072393801918167e+01,2.714751320777507582e-01
2.243371854180400149e+01,2.153359721132090066e+00,1.279480533000000122e+02,8.573297805999999355e+02,2.684166666999999862e+01,5.481018519000000033e+00,2.046273637420000213e+01,1.000000000000000000e+00,2.866692811829806183e-03,1.122225811209323041e+02,3.940110765775624486e+02,1.623601714380267014e+00,4.802493719329778088e+01,1.228549153525412690e-01
2.090159659621789956e+01,2.597524002096750095e+01,4.109350016999999866e+01,1.758418488000000082e+02,7.495000000000000284e+01,5.833333332999999676e+00,5.655162833170000170e+01,1.000000000000000000e+00,4.962597824019753488e-03,3.189163076158270655e+02,6.456061661186272431e+02,1.155691649201318283e+00,2.874479009846527333e+01,2.722125333280720483e-01
1.925931206066519863e+01,1.560616936114229958e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.020000000000000284e+01,-7.607870369999999660e+00,4.279474745329999763e+01,1.000000000000000000e+00,3.569430546673996174e-03,7.126423413842229593e+01,7.243953126721776243e+02,1.204334207813646529e+00,1.907984759412734377e+01,8.218577550108101260e-02
1.808814489449969898e+01,1.652423638183200083e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.498333332999999357e+01,-2.743518518999999767e+00,3.763283594499999651e+01,1.000000000000000000e+00,4.288559583622604185e-03,1.239216448599139255e+02,4.711587883833437331e+02,1.337222639603396157e+00,5.854967084879876715e+00,2.898329492929744289e-01
2.265293365269310044e+01,2.302211556338750142e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.350833332999999925e+01,-2.700462963000000105e+00,4.044384694499999711e+01,1.000000000000000000e+00,4.350380366354912598e-03,3.670650251015160279e+02,4.646434705969660399e+02,1.533647308666801878e+00,4.034702776262556512e+01,1.778145393058523926e-01
1.801673133891049972e+01,1.921996614020130068e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.541666666999999791e+01,1.316203704000000085e+00,2.880161786080000041e+01,1.000000000000000000e+00,2.093536984169267791e-03,3.977237482696522193e+02,2.670360550083884164e+02,1.450178460533134928e+00,1.626999660019734151e+01,2.524137561333010815e-01
