# iwNorthAvgTemp,heatEnergy,diffuse solar w/m2,direct solar w/m2,OAH %,OAT C,Mull SWT C,Heat Mode,mullInsulationThickness,intMass,mullSurfaceArea
2.089058726906829833e+01,1.004955488352380044e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.170833333000000209e+01,9.648611111000001017e+00,3.557678718169999854e+01,1.000000000000000000e+00,4.361700509311573423e-03,9.415297877090282554e+02,1.290471194494378970e+00
2.078535286889379918e+01,1.285584904930279926e+01,1.846940930999999750e+02,1.669357954000000177e+02,6.520000000000000284e+01,1.727777778000000097e+00,3.630068988000000019e+01,1.000000000000000000e+00,1.815557168281077636e-03,9.708375236242478650e+02,1.153888587956608758e+00
1.954391962020769924e+01,3.671489642897120120e+01,1.210973695000000134e+02,7.973527129999999907e-01,8.175000000000000000e+01,-4.128703703999999419e+00,4.790181009329999995e+01,1.000000000000000000e+00,1.858222485102242749e-03,6.318264087812308389e+02,1.365274859159375076e+00
2.095540557219139899e+01,2.313022720384890007e+01,2.245174635999999850e+02,2.731709164000000101e+02,5.239999999999999858e+01,2.161574074000000234e+00,3.313497163249999744e+01,1.000000000000000000e+00,1.876356322851181150e-03,9.693467228060856087e+02,1.586710775748956914e+00
2.287063725108750134e+01,0.000000000000000000e+00,1.623933116000000041e+02,1.450529725999999853e+00,7.707500000000000284e+01,1.065833332999999961e+01,2.109402754250000100e+01,0.000000000000000000e+00,4.439483515178189316e-03,8.635528710443967384e+02,1.608634030324193720e+00
2.312419999989590025e+01,0.000000000000000000e+00,6.328559129999999300e+01,3.005540436000000000e+02,7.895833333000000209e+01,1.679953704000000059e+01,2.385709188999999952e+01,0.000000000000000000e+00,3.856235819776439831e-03,3.590465214766073814e+02,1.361302894053636026e+00
2.100764181595139846e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.249166667000000075e+01,1.352314815000000081e+01,2.246103287000000037e+01,0.000000000000000000e+00,4.733451281698764640e-03,6.268205784367117985e+02,1.429019626042888236e+00
2.052624942350560033e+01,5.047591687756710144e+01,5.922498967000000114e+00,2.093747133999999832e+01,7.682500000000000284e+01,-3.824537036999999806e+00,5.667744041579999958e+01,1.000000000000000000e+00,4.959133174065540745e-03,4.886642188549444086e+02,1.628542828334496928e+00
2.061003029143950016e+01,6.382282140418469751e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.410833332999999357e+01,1.122870370000000051e+01,3.058259292580000022e+01,1.000000000000000000e+00,2.066312951128466621e-03,8.953543303189762810e+02,1.174526640518530396e+00
2.033388773843860164e+01,6.873990199501119669e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.790833333000000493e+01,8.425462962999999306e+00,3.114876666749999856e+01,1.000000000000000000e+00,2.167472135019432415e-03,7.907234789569138229e+02,1.161848392823370713e+00
