EST,iw north average temp C,iw heating energy kWh,,,
20/01/2017 23:00,22.41316947,13.22038065,,,
21/01/2017 0:00,22.47369242,13.67076228,,,
21/01/2017 1:00,22.46281041,11.84135355,,,
21/01/2017 2:00,22.3892713,14.57008536,,,
21/01/2017 3:00,22.31217731,14.83099958,,,
21/01/2017 4:00,22.24366663,14.53097672,,,
21/01/2017 5:00,22.19957715,15.15770307,,,
21/01/2017 6:00,22.18683638,16.35541129,,,
21/01/2017 7:00,22.16540081,15.70452506,,,
21/01/2017 8:00,22.14648948,15.39725635,,,
21/01/2017 9:00,22.60196096,48.22024816,,,
21/01/2017 10:00,23.63840749,4.153272418,,,
21/01/2017 11:00,24.05065737,1.466177613,,,
21/01/2017 12:00,24.3345297,0,,,
21/01/2017 13:00,24.58178138,0,,,
21/01/2017 14:00,24.78791772,0,,,
21/01/2017 15:00,24.93681476,0,,,
21/01/2017 16:00,24.99347179,0,,,
21/01/2017 17:00,24.90604727,0,,,
21/01/2017 18:00,24.63747971,0,,,
21/01/2017 19:00,24.3740271,0,,,
21/01/2017 20:00,24.11653479,0,,,
21/01/2017 21:00,23.79949359,0,,,
21/01/2017 22:00,23.59364537,0,,,
21/01/2017 23:00,23.39748189,0,,,
22/01/2017 0:00,23.20585109,0,,,
22/01/2017 1:00,23.07759227,12.65494935,,,
22/01/2017 2:00,23.05897581,9.090725273,,,
22/01/2017 3:00,23.00787218,9.501115189,,,
22/01/2017 4:00,22.9120125,10.27808804,,,
22/01/2017 5:00,22.87666187,9.945120193,,,
22/01/2017 6:00,22.84414534,10.62372208,,,
22/01/2017 7:00,22.77735574,11.33290072,,,
22/01/2017 8:00,22.69204435,12.1283945,,,
22/01/2017 9:00,22.77420532,18.066721,,,
22/01/2017 10:00,23.0304978,12.00734897,,,
22/01/2017 11:00,23.33445914,6.499350008,,,
22/01/2017 12:00,23.59669342,2.797838803,,,
22/01/2017 13:00,23.64695309,0,,,
22/01/2017 14:00,23.73566363,0,,,
22/01/2017 15:00,23.88796627,0,,,
22/01/2017 16:00,24.06487178,0,,,
22/01/2017 17:00,24.06311454,0,,,
22/01/2017 18:00,23.88366192,0,,,
22/01/2017 19:00,23.64978221,0,,,
22/01/2017 20:00,23.46300274,0,,,
22/01/2017 21:00,23.31470111,0,,,
22/01/2017 22:00,23.12155863,0,,,
22/01/2017 23:00,22.89782987,0,,,
23/01/2017 0:00,22.59082511,0,,,
23/01/2017 1:00,22.45692523,18.85764423,,,
23/01/2017 2:00,22.48770676,13.64913632,,,
23/01/2017 3:00,22.56692886,11.3250603,,,
23/01/2017 4:00,22.59199675,12.25489897,,,
23/01/2017 5:00,22.58220635,12.64621705,,,
23/01/2017 6:00,22.56009403,12.89472271,,,
23/01/2017 7:00,22.539916,12.93039497,,,
23/01/2017 8:00,22.4965898,20.99472215,,,
23/01/2017 9:00,22.52585819,23.46676052,,,
23/01/2017 10:00,22.58930428,21.81546971,,,
23/01/2017 11:00,22.64344491,15.05489464,,,
23/01/2017 12:00,22.64975746,18.98280746,,,
23/01/2017 13:00,22.62359057,47.50221268,,,
23/01/2017 14:00,22.888383,8.002977584,,,
23/01/2017 15:00,22.69723148,36.51431011,,,
