# IAT average C,Heating demand khw,Diffuse solar w/m2,Direct normal solar w/m2,OAH,OAT C,Pitched roof insul thickness m,Ext win U,Ext win SHGC,Infil rate ACH,Mullion surface metal thickness m
1.988166789969999826e+01,1.258365820719999917e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.651666667000000643e+01,-8.436574073999999257e+00,1.433360448999999870e-01,2.976668479200000217e+00,4.199551847999999921e-01,2.480367018000000090e-01,8.264257000000000547e-03
2.832646773449999955e+01,0.000000000000000000e+00,6.506031330999999795e+01,3.242854940999999940e+02,3.844166666999999649e+01,1.587314815000000046e+01,2.853865328999999895e-01,2.813936053399999970e+00,6.146831562000000249e-01,4.770095815000000017e-01,7.142372400000000267e-03
2.309273532690000152e+01,0.000000000000000000e+00,5.449351199999999951e-01,2.172184799999999916e-01,8.954999999999999716e+01,1.270462962999999945e+01,5.583087400000000255e-02,1.922028579500000056e+00,3.056392262000000026e-01,2.157303903999999994e-01,2.618469100000000039e-03
2.550093398079999929e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.832500000000000284e+01,1.074675925999999926e+01,2.695395335999999920e-01,1.989418448899999969e+00,4.045760592000000044e-01,3.479891405000000160e-01,6.384494999999999580e-03
2.673304914230000051e+01,0.000000000000000000e+00,7.081006080000000225e+01,1.802786465999999876e+01,4.895833333000000209e+01,1.869074073999999897e+01,2.125716001999999882e-01,1.633236437399999907e+00,2.695256784000000239e-01,4.606268003999999805e-01,3.172785300000000117e-03
2.052852602300000129e+01,2.308131913600000118e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.135833333000000067e+01,-5.235648148000000113e+00,1.910421167999999947e-01,2.676886795700000210e+00,3.913116439000000057e-01,4.859016373000000222e-01,4.049122700000000290e-03
2.267497739859999939e+01,2.457157792949999831e+01,1.279480532999999980e+02,8.573297806000000492e+02,2.684166666999999862e+01,5.481018519000000033e+00,1.376415733999999946e-01,2.130512389300000198e+00,2.999408275000000068e-01,1.819303072000000021e-01,8.420692900000000328e-03
2.197314745679999959e+01,4.198497464630000309e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.356666667000000359e+01,9.270370370000000193e+00,1.610798600999999997e-01,2.763008531400000134e+00,5.027542850999999757e-01,4.020599047000000259e-01,1.335129300000000106e-03
2.675247343730000082e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.867499999999999716e+01,1.658148148000000077e+01,2.065003113999999973e-01,2.086455420000000061e+00,5.573990127000000294e-01,4.415249110000000199e-01,6.614476099999999810e-03
2.140531161879999900e+01,1.106969536319999925e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.745833333000000209e+01,-1.235185184999999963e+00,9.753066359999999768e-02,2.436356491599999785e+00,3.294464491999999911e-01,4.543535828999999970e-01,1.925357799999999992e-03
2.243168678780000036e+01,1.970045014269999939e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.531666667000000359e+01,3.411111110999999863e+00,7.564900630000000181e-02,2.623022586899999897e+00,3.913441912999999772e-01,3.217831848000000106e-01,1.865843399999999978e-03
2.025033274220000123e+01,7.516810823300000166e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.624166667000000075e+01,4.849537037000000161e+00,1.918646277000000122e-01,2.430618232800000111e+00,5.691809813000000551e-01,3.882050148999999784e-01,7.060761700000000272e-03
2.401215801569999897e+01,2.193822199870000134e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.829166666999999791e+01,-8.365740739999999454e-01,1.981728922999999865e-01,2.996887602800000217e+00,4.309388353999999977e-01,2.709435453999999854e-01,5.254031600000000357e-03
1.969657164219999856e+01,6.838590061460000413e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.320833333000000209e+01,-1.163101851999999958e+01,2.332166626000000131e-01,2.782241479500000114e+00,2.838505266999999943e-01,3.816571268999999766e-01,8.697172200000000478e-03
2.082879615630000103e+01,3.080072285960000045e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.150000000000000000e+01,-1.675925930000000119e-01,1.151182070000000002e-01,2.039017397699999901e+00,4.382099340999999759e-01,2.426102296000000047e-01,5.135979500000000322e-03
2.036895780960000124e+01,4.231583243680000095e+01,1.937681273999999831e+01,5.305526780000000553e-01,9.708333333000000209e+01,7.216666667000000146e+00,8.444059249999999461e-02,2.218941766699999985e+00,5.655518480000000237e-01,3.740735526999999783e-01,1.264756400000000046e-03
1.958946925689999929e+01,1.641660735430000173e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.553333333000000493e+01,-8.704629629999999452e+00,8.343900880000000575e-02,2.743624018899999850e+00,4.858433460000000093e-01,1.590751163999999940e-01,2.972279999999999887e-03
