# IAT average C,Heating demand khw,Diffuse solar w/m2,Direct normal solar w/m2,OAH,OAT C
2.330071128999999885e+01,9.553960218000000282e+00,6.448825363999999638e+01,7.877039537000000564e+02,5.877499999999999858e+01,7.241203704000000130e+00
2.285926969999999869e+01,1.468742514999999926e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.482500000000000284e+01,3.688888888999999782e+00
2.279375684000000035e+01,2.654096979999999917e+01,3.714700544000000093e+01,1.071645994000000002e+02,6.165833332999999783e+01,1.527314814999999992e+00
2.181376240999999894e+01,1.817185946000000030e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.379166666999999791e+01,7.869444443999999983e+00
2.046664136000000056e+01,6.444703042000000437e+01,1.257894455999999934e+02,3.382737227999999874e+01,7.818333332999999641e+01,-3.603240741000000025e+00
2.218695609999999974e+01,1.783044426000000016e+01,8.764126604000000498e+01,2.792976315000000209e+00,9.329999999999999716e+01,1.283287037000000019e+01
1.972621223000000157e+01,5.066817446999999675e+01,9.331380864000000486e+01,4.123666245999999802e+01,7.655833332999999641e+01,1.305555559999999893e-01
2.303971114000000142e+01,1.705926905000000104e+01,1.649335409000000041e+01,2.798542519000000084e+02,6.185000000000000142e+01,6.743518519000000211e+00
2.449048467000000073e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.636666667000000075e+01,1.719814815000000152e+01
2.167594500999999951e+01,1.759383838000000111e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.561666667000000075e+01,4.783333332999999854e+00
1.623998553999999928e+01,7.759609946000000491e+01,3.041370308000000122e+01,1.015937029999999935e-01,8.266666666999999791e+01,-3.794444444999999888e+00
2.236876295000000070e+01,1.975774898999999962e+01,3.099395944999999983e+02,1.147163462999999979e+02,3.979166666999999791e+01,5.837037036999999984e+00
2.145797728000000149e+01,1.920374513999999877e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.747499999999999432e+01,5.247685184999999919e+00
1.994854627000000136e+01,2.689776983000000143e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.382500000000000284e+01,-2.379629630000000162e+00
2.080101237999999952e+01,2.282991554999999906e+01,8.037815593999999919e+01,8.569071378999999524e+02,3.975833332999999925e+01,1.678703703999999908e+00
1.946987478000000138e+01,1.681499064000000132e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.541666666999999791e+01,1.316203704000000085e+00
2.152644150000000067e+01,6.799343410999999548e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.479999999999999716e+01,5.643981480999999967e+00
2.277799986000000132e+01,5.613780530999999741e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.065000000000000568e+01,-5.298148148000000113e+00
2.289782986999999892e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.159999999999999432e+01,1.183796296000000048e+01
2.264031409000000039e+01,5.178159102000000047e+01,1.215711564000000067e+02,6.057633587000000261e+02,6.504999999999999716e+01,-8.199074074000000323e+00
2.277489553999999927e+01,2.609393714000000131e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.729166666999999791e+01,7.684722222000000436e+00
2.231843858999999952e+01,1.180591118999999978e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.973333333000000067e+01,9.014814814999999371e+00
2.451441218000000077e+01,0.000000000000000000e+00,7.424834675999999689e+00,1.579548843999999974e+02,4.118333333000000351e+01,1.472175926000000068e+01
2.176005783000000093e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.483333333000000209e+01,1.464074074000000003e+01
2.120688335999999907e+01,6.621718525000000000e+01,3.288222547000000162e+01,3.047304902000000126e+01,6.817499999999999716e+01,-5.859259258999999886e+00
2.276438182000000054e+01,3.964123820999999737e+01,2.239482204000000110e+01,3.398185870999999914e+00,7.864166667000000643e+01,-3.902777780000000196e-01
1.961198096000000035e+01,1.726006716999999924e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.194166666999999649e+01,2.418518517999999951e+00
2.154054225999999872e+01,2.110861725000000177e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.546666666999999507e+01,7.868055554999999757e+00
2.180142328000000163e+01,2.503105563000000089e+01,1.271328675000000032e+02,1.913248758999999950e+02,6.402500000000000568e+01,-1.446296296000000092e+00
2.252940437000000173e+01,2.255890880000000109e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.429166666999999791e+01,4.748611110999999774e+00
2.240565426999999943e+01,1.438522880000000015e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.695000000000000284e+01,1.073240741000000043e+01
2.352303799999999967e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.958333333000000209e+01,1.325925926000000032e+01
1.963645181000000051e+01,7.679218108000000598e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.320833333000000209e+01,-1.163101851999999958e+01
2.290648162000000099e+01,3.413041146999999942e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.861666667000000075e+01,1.192083333999999972e+01
2.338935928000000075e+01,2.905842526999999897e+00,1.269127533000000057e+02,3.863302934000000164e+02,5.895000000000000284e+01,1.385787037000000055e+01
2.646804055999999861e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.829166666999999791e+01,1.854074074000000039e+01
