IAT average C,Heating demand khw,Diffuse solar w/m2,Direct normal solar w/m2,OAH,OAT C
22.80065844,59.90552229,66.47146564,0.955503865,81.88333333,1.835648148
22.94602385,21.91855583,71.47939716,1.06933496,91.375,2.307407407
22.88611668,38.69647434,66.50622986,1.092617155,93.44166667,3.299074074
22.85088212,53.36235105,56.61082617,1.836521852,93.26666667,4.616203704
23.00151073,10.02988138,47.62513193,5.321204986,87.89166667,6.595833333
22.81234467,38.22554415,10.57713537,1.96706066,78.34166667,8.198148148
22.79078513,41.23834764,0,0,73.56666667,9.27037037
23.01336189,12.06681257,0,0,73.175,9.975925925
22.76826045,41.06898538,0,0,72.8,10.34722222
22.65872017,4.633467573,0,0,77.325,10.03611111
22.27504702,18.11484225,0,0,74.54166667,10.30046296
21.95911486,19.18575227,0,0,78.55833333,9.706944445
21.65901567,21.69198335,0,0,81.70833333,9.648611111
21.53465492,22.24905403,0,0,77.99166667,10.39027778
21.57202487,20.97490292,0,0,80.2,10.0125
21.69801906,20.57915244,0,0,79.16666667,9.656944444
21.65071713,21.25770633,0,0,79.85,8.907407408
21.54054226,21.10861725,0,0,75.46666667,7.868055555
21.44179655,22.29024423,0,0,73.89166667,6.910185185
21.35788596,23.21574597,0,0,72.68333333,6.206018519
21.5264415,67.99343411,0,0,74.8,5.643981481
22.52006194,43.21262082,41.09350017,175.8418488,74.95,5.833333333
23.11337601,7.087039998,93.74983916,62.94872664,74.25,6.462037204
22.98719524,17.20552263,153.7942654,144.4203767,72.30833333,7.74074074
23.05372323,13.56051786,177.9128692,195.3091997,70.11666667,9.293981482
23.24630882,12.37440011,166.3290196,346.6395305,70.53333333,11.6087963
23.40528808,5.998961933,176.189438,169.3011924,64.41666667,13.15138889
23.33580078,16.36119926,137.6285972,61.33930015,61.54166667,13.31712963
23.28533112,13.26047461,58.2879063,11.13083325,60.26666667,13.30416667
23.12152148,15.33624903,10.64832567,2.578988917,60.3,13.11203704
22.94575442,16.33966305,0,0,74.96666667,11.60694445
22.69346752,17.61189102,0,0,89.26666667,10.08287037
22.62648592,34.82581626,0,0,94.35,9.722685185
22.75049689,6.170739608,0,0,96.21666667,10.49583333
22.46633303,15.3551243,0,0,96.85,11.15416667
22.37616508,15.08439226,0,0,95.15,12.37731482
22.36827573,13.715223,0,0,90.85,13.04814815
22.37624363,7.316576525,0,0,86.21666667,13.97222222
22.28767064,0,0,0,80.73333333,15.23287037
22.13386242,0,0,0,78.78333333,15.75555556
21.96535288,0,0,0,78,16.11435185
21.84206427,0,0,0,78.3,16.23657408
21.74938177,0,0,0,77.60833333,16.58333333
21.68302225,0,0,0,77.19166667,16.65462963
21.63507779,0,0,0,76.6,16.94675926
21.61222651,0,13.61765631,2.341898864,77.11666667,17.11898148
21.59849007,0,61.24096846,10.6199363,77.94166667,17.22268518
21.66601073,0,81.32915885,6.456659667,80.99166667,16.87962963
21.77417488,0,149.362142,37.50596774,75.54166667,18.29907407
21.99214651,0,100.6248886,4.31508474,73.41666667,18.57777778
22.112921,0,95.66227301,7.636917427,75.675,18.3087963
22.25479839,0,82.68632217,8.346640843,74.90833333,18.54814815
22.21890335,0,31.5415491,2.008634759,84.29166667,17.09166667
22.11838537,0,1.937954087,0.36242446,95.35833333,14.51851852
21.94294833,0,0,0,96.53333333,12.92222222
21.94094377,0,0,0,95.28333333,12.29537037
22.18447329,60.37137183,0,0,92.98333333,11.73842593
22.91624493,5.278889604,0,0,88.75833333,10.20509259
22.68876124,10.09502478,0,0,89.55833333,7.554166667
22.30849176,16.52742203,0,0,89.2,5.071759259
22.00259094,18.35808857,0,0,87.75833333,3.740277778
21.75525087,19.70684082,0,0,88.01666667,2.920833333
21.64026469,20.28994988,0,0,88.625,2.561111111
21.47943539,21.54137889,0,0,88.4,2.512037037
21.33488599,22.91617258,0,0,87.4,2.118981481
21.26485552,23.59673404,0,0,83.69166667,1.968518518
21.19642238,24.08179746,0,0,81.75,1.824074074
21.10400198,25.03979391,0,0,78.075,1.286574074
21.3332552,77.53788982,0,0,77.70833333,0.425
22.37055009,54.32510972,44.07121349,224.1218888,77.20833333,-0.047222222
23.07137033,5.557611719,88.99302377,312.53714,73.59166667,0.581018518
22.94179051,20.26171857,147.1180909,277.5978241,69.41666667,1.386111111
22.98624412,8.003671118,155.3739651,400.3082607,66.35,2.260648148
23.10733046,24.88631696,123.2138361,658.664115,63.35833333,2.848148148
23.17814634,17.70104732,160.999148,390.0630872,61.025,3.02037037
23.22259047,12.25986336,104.5783394,556.2594861,58.76666667,3.456018519
23.01339712,24.80561243,95.68176675,86.64193957,62.14166667,2.204166667
22.79375684,26.5409698,37.14700544,107.1645994,61.65833333,1.527314815
22.53482926,45.62297223,0,0,62.88333333,0.682407408
22.68899194,27.94666581,0,0,63.98333333,0.056944445
22.60132579,46.8089516,0,0,65.2,-0.239351852
22.68549532,5.384042187,0,0,63.95,-0.52037037
22.10300243,19.44764115,0,0,62.96666667,-0.844444445
21.69829896,22.1731418,0,0,63.68333333,-0.964351852
21.455002,22.99405598,0,0,64.76666667,-1.031944445
21.27516438,24.25182741,0,0,65.625,-1.216203704
21.09733757,26.29077401,0,0,66.01666667,-1.488888889
20.92759519,27.17945364,0,0,66.975,-1.578703704
20.80737989,27.72044686,0,0,67.8,-1.499537037
20.73518584,28.53125091,0,0,69.45833333,-1.630092593
20.6993456,29.50763653,0,0,68.81666667,-1.189814815
20.71887255,28.72234984,0,0,69.84166667,-0.925
20.73412665,27.2691075,0,0,70.03333333,-0.734722222
21.16407686,82.55153694,13.68383543,2.151679312,69.15833333,-0.322685185
22.31949718,61.03668558,26.74644143,0.873399466,69.83333333,-0.035648148
23.010198,17.16081193,60.36253176,1.379475381,71.06666667,0.705555556
22.85911621,24.99995049,90.51934515,2.224111912,67.90833333,1.66712963
22.80939937,24.8513962,115.8655701,5.064806575,66.99166667,2.193055556
22.80298385,23.65863118,87.14849444,2.048172254,67.05833333,2.589351852
22.72921854,24.53494538,55.47476188,1.306722871,71.44166667,2.664814815
22.74439051,35.12272097,26.5711196,0.961824624,76.34166667,2.425462963
22.80748226,25.65712827,8.37918025,1.176373835,78.19166667,2.259722222
22.69877435,43.04238691,0,0,79.6,2.168055556
22.82548126,20.06555911,0,0,78.15833333,2.022685185
22.51091312,10.35411233,0,0,77.41666667,2.076851852
22.13231003,18.12083948,0,0,76.90833333,2.085648148
21.85654285,20.18744081,0,0,77.13333333,1.82037037
21.65719355,20.94598078,0,0,77.475,1.7625
21.491446,22.33239924,0,0,76.91666667,1.531481482
21.37731313,22.87211602,0,0,76.99166667,1.547685185
21.2794368,23.89340484,0,0,73,0.902314815
21.13625582,25.39158701,0,0,76.81666667,0.144907408
20.99038504,26.31018327,0,0,79.075,-0.423611111
20.84855873,27.45273209,0,0,81.04166667,-1.20462963
20.72453167,29.56008465,0,0,82.93333333,-1.7875
20.62600995,28.98075683,0,0,84.06666667,-2.239814815
20.56718312,29.13310738,0,0,85.74166667,-2.52962963
20.91994249,77.02728513,41.67500236,300.5665048,86.05,-2.172685185
22.28596906,59.62397671,99.11801136,254.0014666,82.51666667,-1.054166667
23.3277396,5.937446088,114.9814302,550.725506,73.23333333,1.044907407
23.2691229,16.92829752,134.3906248,569.6424506,70.775,0.852314815
