# # iwNorthAvgTemp,heatEnergy,diffuse solar w/m2,direct solar w/m2,OAH %,OAT C,Mull SWT C,Heat Mode,mullInsulationThickness,intMass,mullSurfaceArea,infilRate
2.247947111833400058e+01,6.412802230138260029e+01,4.768808389999999520e+01,2.304119596999999686e+00,7.931666667000000359e+01,-1.775925925999999988e+00,6.627928634250000073e+01,1.000000000000000000e+00,4.340612620999413987e-03,7.300805418201390466e+02,1.541035271841781462e+00,2.998413111874880244e-01
2.270821182319739862e+01,1.392478218306620086e+01,1.966656585000000064e+02,1.703429214000000229e+02,8.370000000000000284e+01,5.861111110000000179e-01,3.639125352330000140e+01,1.000000000000000000e+00,3.647457823293083663e-03,9.519595979417092622e+02,1.213744289336847304e+00,1.632318473286504812e-01
1.923783926459779892e+01,5.715000029157560135e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.109333333000000010e+01,-6.181388944000000052e+00,3.438088174579999645e+01,1.000000000000000000e+00,1.518756680930412979e-03,9.861496451231035962e+02,1.648470147888595694e+00,1.726372644375614440e-01
2.444990664124199853e+01,5.570974626173759958e+01,9.707350796999999432e+01,5.018974309999999939e+00,7.482500000000000284e+01,-1.512962963000000105e+00,6.229507402750000011e+01,1.000000000000000000e+00,4.886339631806308620e-03,2.223249921240226854e+02,1.519964972502881206e+00,1.590744268634946834e-01
2.141652278161350154e+01,2.650616029650710104e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.012500000000000000e+01,3.811111111000000218e+00,3.485393989420000338e+01,1.000000000000000000e+00,1.460660121897446257e-03,9.249179186301425943e+02,1.699000576490977465e+00,2.819684361333356093e-01
2.157319905481369915e+01,1.949264917481179893e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.175000000000000000e+01,1.824074074000000101e+00,3.692718911419999728e+01,1.000000000000000000e+00,3.447601791758532659e-03,4.552468185672074696e+02,1.509748873791419088e+00,1.282922389513636852e-01
2.098702414167869890e+01,1.144764607947210067e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.559999999999999432e+01,-1.389351851999999887e+00,3.642806799499999926e+01,1.000000000000000000e+00,2.121159456615248282e-03,8.456987504729480634e+02,1.245379072100847084e+00,1.938132478160974892e-01
2.279411374713519933e+01,2.194739402020919883e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.127499999999999858e+01,1.452314815000000037e+00,4.045514731579999790e+01,1.000000000000000000e+00,4.722158776022705035e-03,3.511754335990665368e+02,1.414608811043623904e+00,1.664724213646371909e-01
2.044862994196769890e+01,4.358144277628210261e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.462500000000000000e+01,-8.859259258999999886e+00,4.375814152670000112e+01,1.000000000000000000e+00,1.984696111899418320e-03,4.404376557964084213e+02,1.690355336973345501e+00,2.012014443773628147e-01
2.192916112171269916e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.545000000000000284e+01,1.305509258999999922e+01,2.353680250580000077e+01,0.000000000000000000e+00,4.598761706292645718e-03,3.207428636283347032e+02,1.422059473369152949e+00,2.356391500992579269e-01
2.413778660562940104e+01,2.918957156793300101e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.254166666999999791e+01,-3.627777778000000009e+00,3.841255995670000090e+01,1.000000000000000000e+00,2.364428052990825285e-03,2.155904227804984430e+02,1.659045652520132474e+00,2.591730854628634395e-01
1.902330651388709981e+01,3.869441096379090084e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.910833332999999357e+01,-1.246250000000000036e+01,5.058428532420000323e+01,1.000000000000000000e+00,1.176209936838793282e-03,5.816140786206528901e+02,1.309084131121081240e+00,4.810481484613399195e-02
2.113851980247390117e+01,1.432668498791660028e+01,3.589817043000000041e+01,5.221620331000000448e+00,5.286666667000000075e+01,7.741203702999999159e+00,3.404155780579999657e+01,1.000000000000000000e+00,3.211707716114104057e-03,8.254862240236132038e+02,1.326257425746066643e+00,1.377876294615077435e-01
2.195504969495209835e+01,2.940832086461039907e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.434166666999999507e+01,-5.710648147999999757e+00,4.240957532499999871e+01,1.000000000000000000e+00,4.165921385012424233e-03,6.825900008270232320e+02,1.600883096230164115e+00,9.984445361932824115e-02
