# # cmbedY,diffuse solar w/m2,direct solar w/m2,OAH %,OAT C,Mull SWT C,Heat Mode,mullInsulationThickness,intMass,mullSurfaceArea,infilRate
2.447187628041369933e+01,1.308742273999999952e+02,7.161678262999998879e+02,5.789166666999999933e+01,1.963101852000000136e+01,2.312182266670000175e+01,0.000000000000000000e+00,1.837276316949970493e-03,4.049892491016989879e+02,1.544344237699302624e+00,7.542611606499191601e-02
2.242198661808249938e+01,2.242545959000000266e+02,5.016725526999999829e+01,5.808333333000000209e+01,-1.651388889000000137e+00,4.383625629670000023e+01,1.000000000000000000e+00,2.432982096704852659e-03,4.790099240320593594e+02,1.556650084679933155e+00,1.523263590679505841e-01
1.919163930724590017e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.623333333000000067e+01,2.792129629999999807e+00,2.138628047750000150e+01,1.000000000000000000e+00,4.550005064018198056e-03,7.735886529925556943e+02,1.612027448396120555e+00,2.492578192181084118e-01
2.016117609555099932e+01,1.197107841999999920e+02,6.690959567000001016e+02,4.277499999999999858e+01,-1.473148148000000157e+00,3.742183539330000031e+01,1.000000000000000000e+00,3.211707716114104057e-03,8.254862240236132038e+02,1.326257425746066643e+00,1.377876294615077435e-01
2.313849031978730153e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.925833332999999925e+01,4.278703703999999775e+00,3.002860065750000018e+01,1.000000000000000000e+00,3.483576256310813666e-03,6.567901777541849242e+02,1.605429515442930777e+00,5.381917602134865530e-02
3.718027318906430168e+01,1.113820776000000023e+01,1.146370362999999948e+01,7.054999999999999716e+01,1.703703699999999932e-01,6.007412222250000156e+01,1.000000000000000000e+00,4.686243263050459545e-03,2.367107973824583951e+02,1.173551626913088342e+00,1.195053012571945308e-02
2.426759557092490027e+01,2.123260401000000002e+02,2.900831645000000094e+02,5.817499999999999716e+01,-3.789351851999999798e+00,4.276751273170000189e+01,1.000000000000000000e+00,4.139993468211851033e-03,5.130713579434107032e+02,1.627100936851385127e+00,5.764068884280060950e-02
1.718480140229589992e+01,2.810293703000000143e+00,6.937090609000000185e+00,6.283333333000000209e+01,-5.956481482000000049e+00,5.602611402830000031e+01,1.000000000000000000e+00,2.110068533349270230e-03,9.293581757478563077e+02,1.261240541079304833e+00,1.735372318683275905e-01
2.211772565334119989e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.880833333000000351e+01,-9.568055555000000822e+00,6.539601412170000572e+01,1.000000000000000000e+00,4.210439650348028751e-03,6.988814850328473085e+02,1.456539227761183275e+00,2.850112261708118155e-01
2.242303623740719942e+01,6.129036179999999945e+01,6.029269259000000147e+02,5.682500000000000284e+01,1.072453703999999952e+01,4.334047424669999771e+01,1.000000000000000000e+00,4.037910939761508652e-03,9.546240629179376356e+02,1.226437256355088046e+00,2.252679144562485386e-02
