# # iwNorthAvgTemp,diffuse solar w/m2,direct solar w/m2,dew point temp C,OAH %,OAT C,wind direction from north,wind speed m/s,Mull SWT C,Heat Mode,pitchedRoofInsuThickness,mullSurfaceMetalThickness,extWinU,extWinSHGC,intMass,infilRate
2.663688276757070028e+01,1.327826270999999849e+02,8.381226891000000023e+02,-6.002314815000000081e+00,2.875833332999999925e+01,1.151574074000000003e+01,2.879166667000000075e+02,2.410290666999999942e+00,2.388382630919999983e+01,1.000000000000000000e+00,1.869254323235996496e-01,5.467575461149671093e-03,2.110087705361927135e+00,4.026182961313751196e-01,9.428606227370364934e+01,1.324883941069521752e-02
2.949894998883510056e+01,1.541599621999999954e+02,6.252110251000000289e+02,1.173194445000000030e+01,4.823333333000000067e+01,2.326249999999999929e+01,2.398333333000000209e+02,3.356525333000000000e+00,2.025468839750000072e+01,0.000000000000000000e+00,2.163596121670964267e-01,4.653567974521502504e-03,1.779836407157189271e+00,5.603380330418283872e-01,8.308099734904756417e+01,1.985992232158549087e-01
1.929973105949759926e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.658796296000000225e+00,9.500833332999999925e+01,5.388888888999999516e+00,1.976666666999999791e+02,6.556586670000000838e-01,1.931818184750000000e+01,1.000000000000000000e+00,2.584964531783748298e-01,2.367332902825031518e-03,2.990066388118903795e+00,5.654477954074770274e-01,7.080199132344867508e+01,2.245060305174289284e-01
2.133880874370129987e+01,0.000000000000000000e+00,0.000000000000000000e+00,-6.824537037000000694e+00,6.562500000000000000e+01,-1.216203703999999997e+00,6.966666666999999791e+01,3.390053329999999643e-01,3.658702016250000355e+01,1.000000000000000000e+00,1.321443886026628656e-01,5.745119280919271272e-03,2.138441487818643072e+00,6.319659945408816482e-01,6.573313354733278402e+01,6.818744746673341406e-02
2.157352607391069910e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.924537037000000339e+00,9.673333332999999357e+01,8.406018517999999773e+00,7.950000000000000000e+01,2.235200000000000034e-02,3.428933489920000000e+01,1.000000000000000000e+00,1.700955823015915525e-01,4.366108226019083279e-03,1.964604723866415048e+00,3.595548777262525530e-01,8.062213486394571760e+01,6.522965366324236236e-02
2.039976509036329944e+01,0.000000000000000000e+00,0.000000000000000000e+00,-6.501388888999999338e+00,5.606666666999999649e+01,1.288888889000000093e+00,1.911666666999999791e+02,4.470400000000000068e-02,3.479825470419999789e+01,1.000000000000000000e+00,1.551842159818760947e-01,6.563936894802756446e-03,2.142362736474065166e+00,3.772931868468019090e-01,4.532829303032040968e+01,7.122395147924823200e-02
1.807855237215909838e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.471759258999999709e+00,8.918333332999999641e+01,7.122685184999999919e+00,7.333333333000000209e+01,2.235200000000000034e-02,3.244973451829999789e+01,1.000000000000000000e+00,6.425653058544818219e-02,3.601247555164326531e-03,1.690064987897486493e+00,5.610029781873848709e-01,8.806865094519058346e+01,2.394797744989650146e-01
1.613126237894289972e+01,0.000000000000000000e+00,0.000000000000000000e+00,-4.733796296000000403e+00,6.001666666999999933e+01,2.218055555999999928e+00,4.858333333000000209e+01,4.656666670000000341e-01,2.008071060170000166e+01,1.000000000000000000e+00,1.385945659505131156e-01,2.468689033816008193e-03,2.287640009412100106e+00,3.492303057505513619e-01,4.377814996700611516e+01,2.719459874802415689e-01
2.177476834540929929e+01,1.034414713999999975e+02,6.541014727999998968e+02,1.166064815000000010e+01,8.109999999999999432e+01,1.486388889000000013e+01,1.552500000000000000e+02,3.464559999999999862e-01,2.760044420999999915e+01,5.833333333000000342e-01,2.284311800933883085e-01,5.183324530692759273e-03,2.719509943265107754e+00,4.693443263097767382e-01,3.877741201535009452e+01,8.660013475405488326e-02
2.432300703682319920e+01,4.105337481999999483e+00,3.708631958000000228e+00,1.217361110999999951e+01,5.466666666999999791e+01,2.168194443999999876e+01,2.320833333000000209e+02,1.825413333000000193e+00,2.285952361080000017e+01,0.000000000000000000e+00,2.818996392204107804e-01,9.097884791493610762e-03,2.974894527799476052e+00,4.193843921016355836e-01,8.946943594850552017e+01,2.947053348149299978e-01
2.222462219515719895e+01,9.730233189999999865e+01,5.625119419999999870e+00,1.548611111000000040e+00,8.997499999999999432e+01,3.031018518999999856e+00,2.737500000000000000e+02,2.194221333000000218e+00,4.977897023170000068e+01,1.000000000000000000e+00,1.727484249541101913e-01,2.700196978604684894e-03,2.833105082510801509e+00,3.816975537535834961e-01,5.441563780847651088e+01,1.233503160312305613e-01
2.073123987106150068e+01,1.376285971999999731e+02,6.133930014999999969e+01,6.093518518999999856e+00,6.154166666999999791e+01,1.331712963000000016e+01,1.475000000000000000e+02,1.199557333000000003e+00,3.106301485499999870e+01,1.000000000000000000e+00,2.442773631004880319e-01,8.998638482519055737e-03,2.633328358265341951e+00,4.682375483236104197e-01,9.587282348440533042e+01,1.886503734734960025e-01
2.150212022379189847e+01,7.339292590000000871e+01,7.027493319000000156e+02,2.397089971999999847e+00,7.250833332999999925e+01,7.006084482000000335e+00,2.365357145000000116e+02,2.556110841999999828e+00,4.872395935000000122e+01,1.000000000000000000e+00,2.383563950228760331e-01,4.800010587053924957e-03,2.828782001183338224e+00,3.011319486703521453e-01,8.363172825385603915e+01,1.392575651665889647e-01
