# # iw north average temp C,iw heating energy kWh,diffuse solar w/m2,direct solar w/m2,dew point temp C,OAH %,OAT C,wind direction from north,wind speed m/s,Mull SWT C,Heat Mode
2.164586362000000008e+01,0.000000000000000000e+00,2.249597551999999610e+02,3.035771638000000507e+02,4.266666666999999968e+00,6.987500000000000000e+01,9.480092593000000178e+00,2.379166666999999791e+02,8.195733330000000150e-01,2.207000416670000220e+01,0.000000000000000000e+00
2.277793769999999896e+01,1.713263677999999857e+01,6.703989151000000390e+01,9.000874720000000551e-01,7.680092592999999468e+00,9.815000000000000568e+01,7.945833332999999499e+00,8.216666666999999791e+01,0.000000000000000000e+00,3.416957431000000156e+01,1.000000000000000000e+00
2.194494922000000159e+01,2.070734978000000126e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.027777780000000141e-01,8.887500000000000000e+01,1.741666666999999835e+00,2.837500000000000000e+02,2.291080000000000005e+00,3.319255531499999989e+01,1.000000000000000000e+00
2.040136929000000166e+01,2.733173238999999644e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.809259258999999620e+00,7.049166667000000075e+01,8.874537036999999629e+00,2.554166666999999791e+02,1.303866669999999839e-01,1.944492518420000238e+01,1.000000000000000000e+00
2.298483625000000075e+01,2.052696776000000156e+01,8.330441761999999528e+01,4.642123370000000193e+00,-8.541666669999999906e-01,7.047499999999999432e+01,4.025462962999999839e+00,5.108333333000000209e+01,4.470400000000000068e-02,3.692416265749999837e+01,1.000000000000000000e+00
2.135842992999999979e+01,3.415983621999999720e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.193750000000000000e+01,4.355833333000000351e+01,-1.105555555999999884e+00,3.173333332999999925e+02,1.788159999999999750e+00,2.254143696829999755e+01,1.000000000000000000e+00
2.182991777000000155e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.347777778000000026e+01,8.879999999999999716e+01,1.529861110999999951e+01,2.099166666999999791e+02,2.604008000000000322e+00,2.248507016579999984e+01,0.000000000000000000e+00
2.492359847999999900e+01,2.866439698000000202e+00,1.028252188000000018e+02,5.977206370000000106e+02,4.161111111000000307e+00,3.570000000000000284e+01,1.976203703999999917e+01,2.624166667000000075e+02,2.685965332999999955e+00,2.464116133499999961e+01,1.000000000000000000e+00
2.163145971000000145e+01,2.237936055000000124e+01,0.000000000000000000e+00,0.000000000000000000e+00,-8.509259259999999436e-01,8.306666667000000359e+01,1.717592593000000223e+00,2.801666667000000075e+02,3.166533333000000283e+00,3.473589300919999800e+01,1.000000000000000000e+00
2.241316946999999971e+01,1.322038064999999918e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.082175926000000032e+01,9.209166666999999507e+01,1.205324073999999968e+01,2.440000000000000000e+02,0.000000000000000000e+00,3.071281798080000058e+01,1.000000000000000000e+00
2.267011154000000062e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.133518519000000069e+01,8.944166667000000359e+01,1.301574074000000003e+01,2.556666666999999791e+02,2.570479999999999987e-01,2.295926276830000035e+01,0.000000000000000000e+00
2.175525087000000113e+01,1.970684082000000004e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.132407407000000088e+00,8.801666667000000643e+01,2.920833333000000032e+00,3.040833332999999925e+02,4.246880000000000099e-01,3.358561387079999605e+01,1.000000000000000000e+00
2.243004863000000171e+01,8.922134166000001088e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.115740739999999676e-01,6.405833332999999641e+01,6.932870369999999838e+00,1.000000000000000000e+02,2.235200000000000034e-02,2.873951088829999989e+01,1.000000000000000000e+00
2.465960238999999987e+01,0.000000000000000000e+00,6.506031330999999795e+01,3.242854940999999940e+02,1.748611110999999996e+00,3.844166666999999649e+01,1.587314815000000046e+01,1.714166666999999791e+02,8.456506670000000225e-01,2.244450509329999832e+01,0.000000000000000000e+00
2.156579130000000077e+01,1.633173923000000016e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.111111109999999957e-01,8.147499999999999432e+01,3.702777778000000186e+00,8.300000000000000000e+01,6.593839999999999701e-01,2.050797076829999810e+01,1.000000000000000000e+00
2.289209706000000111e+01,2.852632592999999872e+01,1.203915035999999787e+02,5.626726244999999693e+01,-6.054629629999999985e+00,8.311666667000000075e+01,-3.569444444999999799e+00,2.807500000000000000e+02,3.062224000000000057e+00,4.507513972329999774e+01,1.000000000000000000e+00
2.220710284000000101e+01,1.301018147999999997e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.694907406999999866e+00,6.074166667000000075e+01,8.857870371000000631e+00,7.691666666999999791e+01,6.705599999999999061e-02,2.844913382420000048e+01,1.000000000000000000e+00
2.192984049000000013e+01,1.526043884999999989e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.156481482000000227e+00,9.268333332999999641e+01,5.241203704000000130e+00,2.130000000000000000e+02,2.235200000000000034e-02,2.993022648999999902e+01,1.000000000000000000e+00
2.653400642000000076e+01,0.000000000000000000e+00,1.575225438999999881e+02,6.049659993999999870e+02,1.229351851999999923e+01,4.614166666999999933e+01,2.462129630000000091e+01,1.974166666999999791e+02,2.894584000000000046e+00,2.491669856329999888e+01,0.000000000000000000e+00
2.284538098999999889e+01,4.388642483000000283e+01,8.880751542000000143e+01,1.800773274999999956e+02,-1.271342592999999965e+01,4.361666667000000075e+01,-1.984259259000000108e+00,1.990833333000000209e+02,1.035642667000000072e+00,4.689656194500000197e+01,1.000000000000000000e+00
2.275639363999999887e+01,2.477008233000000104e+01,7.365189107000000490e+01,1.968077726999999832e+00,-5.435185190000000333e-01,7.715833333000000493e+01,3.065740741000000380e+00,2.760833332999999925e+02,6.966373329999999697e-01,3.917256958250000309e+01,1.000000000000000000e+00
2.199562136999999851e+01,1.839412567999999837e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.150925926000000210e+00,9.686666667000000075e+01,6.606944443999999805e+00,2.807500000000000000e+02,1.654047999999999963e+00,3.303461437499999676e+01,1.000000000000000000e+00
2.142847052000000119e+01,2.750180233000000030e+01,0.000000000000000000e+00,0.000000000000000000e+00,-1.474305556000000017e+01,6.895833333000000209e+01,-1.013101851999999958e+01,2.886666667000000075e+02,5.289973329999999585e-01,3.628726905079999909e+01,1.000000000000000000e+00
2.228817318999999841e+01,6.124619230999999786e+01,3.622397448000000253e+01,9.610844885000000559e+00,8.898148150000000367e-01,9.364166667000000643e+01,1.806944445000000066e+00,2.460000000000000000e+02,1.698752000000000040e+00,6.287271273079999645e+01,1.000000000000000000e+00
2.284639976000000061e+01,3.474416798000000028e+01,1.674048351000000139e+02,3.548894162999999935e+01,-1.064351852000000065e+01,5.618333333000000351e+01,-3.150925926000000210e+00,2.847500000000000000e+02,1.534837333000000026e+00,4.515251458499999870e+01,1.000000000000000000e+00
2.159849007000000043e+01,0.000000000000000000e+00,6.124096845999999772e+01,1.061993630000000088e+01,1.335787037000000055e+01,7.794166667000000359e+01,1.722268517999999915e+01,2.210000000000000000e+02,2.730669333000000254e+00,2.155745231499999903e+01,0.000000000000000000e+00
2.055721933999999962e+01,0.000000000000000000e+00,4.572286960999999650e+01,4.222398689999999899e-01,1.070185185000000061e+01,9.777500000000000568e+01,1.102962963000000052e+01,9.258333333000000209e+01,8.232986669999999840e-01,2.093781457920000122e+01,0.000000000000000000e+00
2.290885514000000001e+01,3.594705823999999605e+00,1.231568792000000201e+02,4.000344677999999732e+01,6.307407407999999549e+00,8.025833332999999925e+01,9.545833332999999143e+00,2.868333332999999925e+02,3.546517333000000161e+00,2.531937506999999954e+01,1.000000000000000000e+00
2.422443477999999928e+01,0.000000000000000000e+00,1.017857705999999922e+02,1.006951536999999952e+00,1.384027777999999920e+01,9.525000000000000000e+01,1.457731481999999978e+01,1.802500000000000000e+02,5.289973329999999585e-01,2.382769444420000227e+01,0.000000000000000000e+00
2.277420532000000009e+01,1.806672099999999759e+01,4.661091236000000038e+01,7.006527493000000106e+01,9.469444444000000516e+00,9.679999999999999716e+01,9.943055553999998963e+00,8.333333330000000094e-01,0.000000000000000000e+00,3.277606505749999855e+01,1.000000000000000000e+00
2.163331162000000063e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.456064815000000046e+01,9.865833333000000493e+01,1.475092592000000025e+01,2.006666666999999791e+02,1.426802666999999802e+00,2.262093685170000157e+01,0.000000000000000000e+00
2.504557119000000043e+01,2.783489668000000083e+00,8.787488596999999402e+01,3.204690674999999942e+02,3.855092593000000178e+00,3.620000000000000284e+01,1.919259259000000029e+01,2.424166666999999791e+02,2.931837333000000267e+00,2.476652436079999831e+01,1.000000000000000000e+00
2.168302225000000050e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.266064815000000010e+01,7.719166667000000359e+01,1.665462962999999874e+01,2.096666666999999791e+02,2.302256000000000302e+00,2.183111852249999885e+01,0.000000000000000000e+00
2.200259094000000104e+01,1.835808856999999961e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.902314814999999992e+00,8.775833332999999925e+01,3.740277778000000275e+00,3.020000000000000000e+02,6.035040000000000404e-01,3.245627359579999904e+01,1.000000000000000000e+00
2.264600906000000080e+01,2.180459322999999827e+01,6.147882204999999800e+01,5.944142610000000548e-01,2.557407406999999910e+00,8.603333333000000493e+01,4.689814815000000081e+00,2.790000000000000000e+02,1.907370666999999909e+00,3.633611759170000255e+01,1.000000000000000000e+00
2.326047027999999983e+01,2.669671371000000093e+01,2.962481999999999971e+01,7.899312472000000298e+02,-1.133472221999999974e+01,4.010833333000000067e+01,6.773148150000000145e-01,2.913333332999999925e+02,1.825413333000000193e+00,3.881636814830000048e+01,1.000000000000000000e+00
2.226018050000000059e+01,3.305241248000000098e+01,1.103403763000000026e+02,1.745671351999999956e+02,-8.891666667000000857e+00,5.639166666999999933e+01,-1.334259258999999975e+00,2.956666667000000075e+02,3.632200000000000095e+00,4.175347824079999981e+01,1.000000000000000000e+00
2.123112614000000065e+01,2.400805928999999850e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.407407407000000887e+00,9.703333333000000493e+01,5.835648147999999757e+00,8.416666666999999791e+01,2.235200000000000034e-02,3.740388560170000432e+01,1.000000000000000000e+00
2.250928739999999806e+01,3.113804890000000114e+01,0.000000000000000000e+00,0.000000000000000000e+00,-4.645833332999999676e+00,5.820000000000000284e+01,2.743981481999999694e+00,2.964166667000000075e+02,1.490133333000000171e+00,4.307680661919999920e+01,1.000000000000000000e+00
2.047600771999999836e+01,4.114659888000000265e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.122824074000000039e+01,9.704166666999999791e+01,1.166944443999999947e+01,1.935833333000000209e+02,4.470400000000000068e-02,2.060550601829999806e+01,1.000000000000000000e+00
2.208492451000000045e+01,1.374418694000000052e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.394907407999999904e+00,8.681666667000000359e+01,8.455555556000000195e+00,4.533333333000000209e+01,2.235200000000000034e-02,2.994053961079999837e+01,1.000000000000000000e+00
2.229134913000000040e+01,3.217770132999999788e+01,1.267945158999999933e+02,4.257114850999999867e+00,-6.530555556000000372e+00,7.182500000000000284e+01,-2.131018518999999944e+00,2.813333332999999925e+02,3.509263999999999939e+00,4.358350708329999890e+01,1.000000000000000000e+00
2.361295429000000112e+01,3.073949138999999775e+00,7.168425451999999609e+01,1.502591776999999951e+01,1.183796296000000048e+01,8.789166667000000643e+01,1.379583333000000067e+01,2.111666666999999791e+02,4.470400000000000068e-02,2.541265021750000130e+01,1.000000000000000000e+00
2.481308367000000104e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.166712962999999981e+01,7.950833332999999925e+01,1.517129630000000162e+01,2.275833333000000209e+02,4.470400000000000068e-02,2.451911387330000025e+01,0.000000000000000000e+00
2.141211419999999777e+01,8.672242790000000978e-01,3.490065136000000123e+00,1.042608179000000135e+00,1.312962962999999927e+00,8.294166667000000359e+01,3.950462963000000105e+00,8.616666666999999791e+01,8.232986669999999840e-01,2.724247126420000242e+01,8.333333330000000649e-02
