# # iw north average temp C,iw heating energy kWh,diffuse solar w/m2,direct solar w/m2,OAH %,OAT C,Mull SWT C,Heat Mode
2.297258357999999845e+01,2.874622508999999937e+01,1.349668417000000034e+02,1.031452156000000002e+02,4.212500000000000000e+01,-4.865740739999999676e-01,4.074380643420000325e+01,1.000000000000000000e+00
1.970219511999999895e+01,1.858719483000000139e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.577499999999999858e+01,5.002777778000000453e+00,2.351213668249999955e+01,1.000000000000000000e+00
2.112425324000000160e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.220000000000000284e+01,1.009537062999999968e+01,2.140745578670000171e+01,0.000000000000000000e+00
2.219957714999999965e+01,1.515770307000000017e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.875833332999999925e+01,7.119907407999999549e+00,3.206600064330000066e+01,1.000000000000000000e+00
1.938558742000000024e+01,1.790029153000000051e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.729999999999999716e+01,3.833333329999999428e-01,2.970574164419999974e+01,1.000000000000000000e+00
2.362604769999999732e+01,3.121210231000000057e+00,1.197915364000000125e+02,7.539395299999999907e+02,6.044166666999999649e+01,6.873611111000000662e+00,2.447899193920000016e+01,1.000000000000000000e+00
2.073412665000000032e+01,2.726910750000000050e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.003333333000000493e+01,-7.347222220000000359e-01,3.953487453580000022e+01,1.000000000000000000e+00
1.965568736999999899e+01,1.449564550999999923e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.714999999999999858e+01,5.107870369999999660e+00,2.806073195829999989e+01,1.000000000000000000e+00
2.139358783000000130e+01,5.454912783999999704e+01,1.318671503999999857e+02,1.358189050000000009e+01,7.389166667000000643e+01,-1.704166666999999968e+00,6.072095583419999798e+01,1.000000000000000000e+00
2.651797948999999832e+01,0.000000000000000000e+00,2.767411930000000098e+02,6.812052006000000404e+01,5.356666666999999649e+01,2.286018518999999927e+01,2.466227631829999822e+01,0.000000000000000000e+00
2.016330865999999844e+01,8.233727718999999468e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.705833332999999641e+01,-6.231481481000000322e+00,6.368488726920000431e+01,1.000000000000000000e+00
