# iwNorthAvgTemp,heatEnergy,diffuse solar w/m2,direct solar w/m2,OAH %,OAT C,Mull SWT C,Heat Mode,mullInsulationThickness,mullMetalConductivity,intMass,mullSurfaceArea,elecEquipDensityLow,elecEquipDensityHigh,infilRate
2.455840481980250090e+01,1.225642504996589999e+00,1.269127533000000057e+02,3.863302934000000164e+02,5.895000000000000284e+01,1.385787037000000055e+01,2.263579768500000000e+01,1.000000000000000000e+00,8.287491879685074392e-02,2.673777722591679549e+02,3.724951032013847225e+02,1.218222087413627808e+00,2.155755576253772432e+01,3.146704521672086230e+01,4.121589724948358791e-02
2.685139701398500023e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.086666667000000075e+01,1.039444443999999912e+01,2.299980423999999957e+01,0.000000000000000000e+00,8.392094266287773718e-02,2.777726914006570951e+02,3.055614273184867784e+02,1.359222999024013667e+00,1.872793827457250160e+01,4.312182014874952074e+01,1.019615663679273310e-01
2.656793735270559864e+01,0.000000000000000000e+00,1.308742273999999952e+02,7.161678262999998879e+02,5.789166666999999933e+01,1.963101852000000136e+01,2.312182266670000175e+01,0.000000000000000000e+00,9.017675003420581870e-02,3.499189705864433222e+02,2.853480420625884335e+02,1.479575871236201490e+00,8.185596632460828914e+00,4.654029623551808470e+01,2.260592901915627340e-01
2.066303722731930037e+01,5.658373585356540225e+00,9.567705675999999926e+01,9.017307190000000139e-01,8.314166667000000643e+01,5.823148147999999580e+00,2.130249465580000034e+01,1.000000000000000000e+00,1.478745473416216445e-03,3.080300052724997499e+02,3.669938171515789804e+02,1.283775101182363709e+00,8.920755341989670129e+00,2.384672297950774222e+01,2.434643221823880668e-02
2.374766590350629869e+01,1.616417334106219883e+01,1.217879087999999967e+02,4.042167560000000037e+01,7.318333332999999641e+01,-2.118981481999999694e+00,4.309878736079999584e+01,1.000000000000000000e+00,3.477170461624532610e-02,3.930025210777232019e+02,9.560817197000250189e+02,1.311424624687250517e+00,2.333515700409902394e+01,4.236941466385829358e+01,2.237953368786586017e-01
2.244389008958560083e+01,8.361784456648420516e+00,4.200043671000000245e+01,8.627778622999999314e+00,7.397499999999999432e+01,8.441203703999999419e+00,3.387592111579999710e+01,1.000000000000000000e+00,4.354826765011315243e-02,3.813558266370421279e+02,9.872001291523611144e+02,1.188500242699969567e+00,1.563493889904569301e+01,3.046396514647616272e+01,9.544220098504788141e-02
2.275692722235280030e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.159999999999999432e+01,1.183796296000000048e+01,2.334296041079999995e+01,0.000000000000000000e+00,8.328951201661881354e-02,1.942944586359782591e+02,9.753498598747484039e+02,1.306309143503565862e+00,1.692605435564292549e+01,4.961462829098122995e+01,4.987971162646564344e-02
2.332828595820580020e+01,1.614040013096279935e+01,3.738876986999999730e+01,1.880504073000000176e+02,5.724166667000000075e+01,1.827314815000000037e+00,3.826076758749999840e+01,1.000000000000000000e+00,1.942357076168656910e-02,1.916705883370163122e+02,9.485950462696770273e+02,1.570937780514877424e+00,8.235054988776919771e+00,3.635856406709815758e+01,2.547366351376310067e-01
2.363635959464360070e+01,0.000000000000000000e+00,1.850719794999999834e+01,6.054832668999999612e+00,8.250833332999999925e+01,1.590648148000000006e+01,2.355846990750000103e+01,0.000000000000000000e+00,5.067074761979323272e-02,2.622396486691727659e+02,6.197446227800742236e+02,1.601547265977033341e+00,5.516489031297015622e+00,3.411745998138248837e+01,2.265718108345370629e-01
2.755105156368750130e+01,0.000000000000000000e+00,7.424834676000000577e+00,1.579548843999999974e+02,4.118333333000000351e+01,1.472175926000000068e+01,2.250919907420000143e+01,0.000000000000000000e+00,8.617369857664682053e-02,3.504169962038569679e+02,5.147890858440287047e+02,1.569900803327681338e+00,2.214751532876351803e+01,4.142051135340761903e+01,1.232000000919925981e-01
2.567969160966519837e+01,1.083508257369559935e+01,1.648739476000000082e+02,6.837441165999999839e+02,5.829999999999999716e+01,2.530092593000000001e+00,3.763715490170000066e+01,1.000000000000000000e+00,4.092109490178406916e-02,8.181711669516825225e+01,2.544930792943736151e+02,1.711102525363011662e+00,2.308157545011795975e+01,2.979828775486045345e+01,8.198323945429544790e-02
2.456199678712509993e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.254999999999999716e+01,1.645601852000000065e+01,2.389387314829999909e+01,0.000000000000000000e+00,7.615320055626796647e-02,3.317691927870245650e+02,3.865384208184302679e+02,1.275377397271153956e+00,1.258383439225960210e+01,2.554762168105963482e+01,2.721857309060342067e-01
2.294851084772280103e+01,7.330924349382119676e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.700833332999999925e+01,1.046527777999999920e+01,2.198917289079999904e+01,1.000000000000000000e+00,2.243698379324969919e-02,2.184388231483130198e+02,7.431623282859450228e+02,1.203758350815120171e+00,1.737977290833993393e+01,4.129108181268188105e+01,2.198081498584992799e-01
2.236072242847840030e+01,0.000000000000000000e+00,2.422070757999999842e+02,4.157813248000000073e+01,5.508333333000000209e+01,9.988425925999999677e+00,2.126858586670000051e+01,0.000000000000000000e+00,1.070402248993484323e-02,3.370463586820306432e+02,8.117556246843201961e+02,1.533732446229841839e+00,7.892352860283812888e+00,2.424875138948029019e+01,2.446146236000326379e-01
2.455767863201809931e+01,2.140795750946730136e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.406666666999999649e+01,1.088564814999999975e+01,2.269752851499999835e+01,1.000000000000000000e+00,5.580154717760445193e-02,1.642584120888103030e+02,4.438486382450139445e+02,1.576075332591445832e+00,1.748216457514576661e+01,2.235003615330964877e+01,2.284284324109979170e-01
1.903700583449019845e+01,7.749828798676370312e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.729999999999999716e+01,3.833333329999999428e-01,2.970574164419999974e+01,1.000000000000000000e+00,1.574039217244423139e-02,8.629342699741140166e+01,4.083868102813959240e+02,1.420884932808945234e+00,1.311268058454128216e+01,2.515650238299966190e+01,1.434681320983667019e-01
2.225594798874340086e+01,1.628317588436160079e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.230833332999999641e+01,-1.174629630000000091e+01,4.716175287000000083e+01,1.000000000000000000e+00,8.898960111354706215e-02,2.271027300764389736e+02,6.227016633934490528e+02,1.489184522773942865e+00,1.904042297968517516e+01,2.691437862931702796e+01,1.816665583963018582e-01
2.321236080894830067e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.121666666999999507e+01,8.006481480999999789e+00,2.171032731500000068e+01,0.000000000000000000e+00,6.696835026741254637e-02,2.698491787836948106e+02,4.503748212198375995e+02,1.611253119505373643e+00,9.170685599707086411e+00,4.748562473557964836e+01,2.697857139168742258e-01
2.272349936980929996e+01,1.429595449654349970e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.306666667000000359e+01,1.717592593000000223e+00,3.473589300919999800e+01,1.000000000000000000e+00,1.015053758039905635e-02,1.094507661703765109e+02,8.281794851814273670e+02,1.690613789590220684e+00,1.402920449239029743e+01,3.908181440084582903e+01,4.643016271001185191e-02
2.012230608244230012e+01,8.974041174192210590e+00,1.968250364000000161e+02,2.342197000000000173e+01,8.197499999999999432e+01,3.520370370000000193e+00,3.103997823919999988e+01,1.000000000000000000e+00,4.633879501210760865e-02,2.189013338040256258e+02,4.055209104161915548e+02,1.378090206315928601e+00,1.362275624805543472e+01,4.180355183053265478e+01,7.486994137747611522e-02
2.199620929226929889e+01,6.949338376141979801e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.645833333000000209e+01,4.291666667000000324e+00,3.586165889749999991e+01,1.000000000000000000e+00,2.407545554042869046e-02,1.043782911799124804e+02,7.397328663773511153e+02,1.123145673506495301e+00,1.519580046963377029e+01,3.795156128727780498e+01,1.299647293975863538e-01
2.570556301248860009e+01,0.000000000000000000e+00,9.010903524999999803e+00,4.802988470000000376e+01,5.913333332999999925e+01,1.934305555999999982e+01,2.470769653829999868e+01,0.000000000000000000e+00,9.569700866938646300e-02,2.962990637726338718e+02,7.211803147668911151e+02,1.468794617567019900e+00,1.074722250048554884e+01,2.300984278125367055e+01,9.453229648248634431e-02
2.336583725361800035e+01,7.739217196268249666e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.832500000000000284e+01,1.074675925999999926e+01,3.284875577670000268e+01,1.000000000000000000e+00,2.933164379366436786e-02,2.584982863852592345e+02,4.107508386952637238e+02,1.337720637600462892e+00,9.026016555869411206e+00,3.697416323463657761e+01,1.719964752254141971e-01
