# # cmbedY,diffuse solar w/m2,direct solar w/m2,OAH %,OAT C,Mull SWT C,Heat Mode,mullInsulationThickness,mullMetalConductivity,intMass,mullSurfaceArea,elecEquipDensityLow,elecEquipDensityHigh,infilRate
2.085020537021479825e+01,2.005831014000000039e+02,5.588099053999999910e+01,4.948333333000000067e+01,-1.203240740999999892e+00,3.185425017580000073e+01,1.000000000000000000e+00,1.378287313217814100e-02,3.090507084106402544e+02,8.714890855686826399e+02,1.614005503048883794e+00,5.417752997492329747e+00,2.383591515548636153e+01,2.495631176616674995e-01
1.880451545709020067e+01,2.564760984000000121e+02,4.576736728000000198e+01,6.481666667000000359e+01,-3.474537036999999717e+00,3.697694307500000122e+01,1.000000000000000000e+00,3.411519256592244337e-02,2.084923987462526895e+02,5.704396191551131778e+02,1.652764215729556785e+00,1.378769937383329669e+01,2.744523567538787034e+01,2.232944563973910668e-01
1.363315120000889991e+01,3.470711277999999993e+02,1.411629484999999988e+02,6.129999999999999716e+01,9.011574074000000323e+00,2.151720510079999826e+01,1.000000000000000000e+00,6.522683832185900699e-02,2.615866489773285934e+02,4.277576701433789026e+02,1.683406875162318350e+00,1.649827597505450427e+01,3.914646636131925561e+01,8.624420284082244537e-02
2.081662573272690153e+01,6.654231753999999910e+01,1.096570086000000011e+01,7.156666667000000359e+01,-9.408333332999999854e+00,6.559897342669999887e+01,1.000000000000000000e+00,8.440324214007410841e-02,2.384169673959319766e+02,3.887268293365910949e+02,1.590858069937238328e+00,6.204823145112245086e+00,4.116298223429695469e+01,1.995012516055779117e-01
4.323229346747449853e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+02,9.926388889000000049e+00,2.970150377250000062e+01,1.000000000000000000e+00,2.685101301510114252e-02,3.620999578083413439e+02,5.107083987916140018e+02,1.137045547107102594e+00,1.285237886023140952e+01,2.361222498856693974e+01,2.616075258343137921e-01
2.728709202268139933e+01,2.957718777999999702e+02,3.716309372999999994e+01,6.031666666999999649e+01,1.869999999999999929e+01,2.434211184669999994e+01,0.000000000000000000e+00,3.532607375136823102e-02,1.450607175534062776e+02,2.454108014374610889e+02,1.180288787672018280e+00,9.869304835453228009e+00,3.802637256486920592e+01,4.542936919168667764e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.545000000000000284e+01,1.305509258999999922e+01,2.353680250580000077e+01,0.000000000000000000e+00,6.956456256058013432e-02,1.879921121768794308e+02,4.999248367261654380e+02,1.563711899874980160e+00,1.575784593997588345e+01,4.087859692866684469e+01,2.505825044422571590e-01
1.222692666591379940e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.777499999999999858e+01,-4.529629629999999629e+00,3.171672735670000165e+01,1.000000000000000000e+00,2.619030085393383653e-02,3.010758873025436060e+02,2.347423290327859888e+02,1.642329420471147383e+00,6.861123279472860936e+00,3.943268812439445270e+01,2.467117414007038156e-01
2.114298819377579974e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.187500000000000000e+01,5.716666667000000146e+00,3.302907341249999718e+01,1.000000000000000000e+00,8.337100180634454683e-02,7.432366311115893609e+01,8.416468375503839070e+02,1.408987268777762480e+00,7.836600485764574131e+00,2.548585656276752331e+01,2.295888643577902177e-01
2.325280973318970013e+01,3.813902182000000352e+01,2.223269415000000038e+01,9.080833332999999641e+01,2.774999999999999911e+00,3.837968463420000376e+01,1.000000000000000000e+00,5.784051750955837568e-02,3.096328421663520203e+02,6.651421873577771748e+02,1.396858396114116996e+00,1.627893873503565203e+01,2.111333268975766586e+01,3.799590686845667753e-02
5.537859296197919612e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.291666666999999791e+01,5.288425926000000388e+00,2.918430489329999844e+01,1.000000000000000000e+00,3.223264479110205666e-02,1.008409683438700313e+02,4.892800153868561779e+02,1.258216331099744068e+00,1.990400884579092633e+01,2.185277556917139918e+01,1.516559657359205504e-01
2.002376070125909990e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.254166666999999791e+01,-3.627777778000000009e+00,3.841255995670000090e+01,1.000000000000000000e+00,2.533147278667960065e-02,2.373611285232307182e+02,7.305854168212929380e+02,1.454836600352446885e+00,2.475494795377272084e+01,3.903194036622181784e+01,2.733926483582202471e-01
1.947992743382650005e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.477500000000000568e+01,-2.829629629999999896e+00,3.834236139749999950e+01,1.000000000000000000e+00,4.032233948098096904e-02,1.866285006769988968e+02,6.734705419620938756e+02,1.197394809970245388e+00,8.228791482121563305e+00,2.731713145801362685e+01,1.498082610032842182e-02
2.177150175726429993e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.445833333000000209e+01,7.396296296000000048e+00,3.178331530499999857e+01,1.000000000000000000e+00,7.466062002395884578e-02,2.834417239052767741e+02,5.926577179039437624e+02,1.444231817146393260e+00,1.925986607474824552e+01,2.726133746702469196e+01,1.740124056314720224e-01
1.603772421651779823e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.396666666999999507e+01,-8.625000000000000000e+00,3.873179328829999690e+01,1.000000000000000000e+00,7.796460961463377859e-02,8.512189601331228062e+01,5.807060948993437250e+02,1.277118889944649727e+00,9.270768917368947371e+00,4.593969260995954329e+01,2.177270429336810309e-01
2.030416921693910126e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.895833333000000209e+01,-5.240740741000000646e+00,5.228813148169999891e+01,1.000000000000000000e+00,7.701521025926985620e-02,2.460864716621159403e+02,3.242728477786314443e+02,1.354698975801579497e+00,1.930489330702759787e+01,2.786501181174952535e+01,8.149750863708225823e-02
2.445084764148800005e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.984999999999999432e+01,1.611759259000000100e+01,2.406311287500000162e+01,0.000000000000000000e+00,2.888072049798905833e-02,1.518774941127417151e+02,4.719680160630538808e+02,1.423275706674099750e+00,1.476703168128821986e+01,4.185174566828757747e+01,2.798970164835787311e-01
1.984301402031859851e+01,1.029222397000000058e+02,9.205361895999999433e+02,4.104166666999999791e+01,4.375000000000000000e-01,2.596817775419999919e+01,1.000000000000000000e+00,1.847129190855309466e-02,3.562427663051415152e+02,8.691373058409435544e+02,1.165146353352366715e+00,2.338647807084826979e+01,3.859807146922679522e+01,2.743180300890911139e-01
1.417336754164879942e+01,6.113603172999999913e+01,1.238218368000000069e+00,7.231666667000000359e+01,-6.342592599999999359e-02,5.015569379669999961e+01,1.000000000000000000e+00,6.374927324646503801e-02,1.620203871600079992e+02,8.516626307891201577e+02,1.639965602264902955e+00,1.899310456147470916e+01,4.367477907723502994e+01,2.698949783799288737e-01
9.973983714838489334e+00,1.027258470999999957e+02,8.071015618999999788e+02,4.760000000000000142e+01,2.241666667000000057e+00,3.905553671250000036e+01,1.000000000000000000e+00,8.683843080979963824e-02,2.227412123717095369e+02,2.762984976590764177e+02,1.326563710912546101e+00,1.297120017411504200e+01,4.687182625755310283e+01,1.209193912431755225e-01
2.255703712858580090e+01,9.286259103999999809e+01,7.188375678999999536e+02,4.849166667000000075e+01,-7.361111109999999291e-01,4.229717815250000257e+01,1.000000000000000000e+00,7.559747245068242083e-02,2.237175400843199782e+02,9.542247100569557006e+02,1.378281814004521433e+00,1.051383347546126856e+01,3.409576281415870369e+01,1.604008040084652087e-01
1.036557978213929943e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.175000000000000000e+01,-1.722222219999999804e-01,3.890760842670000130e+01,1.000000000000000000e+00,7.893450259775428024e-02,2.903037229105121924e+02,7.777082199619300127e+02,1.618795287939728711e+00,1.432712896155032745e+01,4.751318971014832471e+01,2.910451005110918365e-01
4.767396646922260395e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+02,9.926388889000000049e+00,2.970150377250000062e+01,1.000000000000000000e+00,2.117697662584153498e-02,8.450623796073793415e+01,5.073611087779057129e+02,1.168100711984172868e+00,1.096678843626166966e+01,3.556153554107746828e+01,5.170828431667783692e-02
1.313716729674299977e+01,8.330441761999999528e+01,4.642123370000000193e+00,7.047499999999999432e+01,4.025462962999999839e+00,3.692416265749999837e+01,1.000000000000000000e+00,9.485203760306708254e-02,3.844678204301328606e+02,2.881491952308190889e+02,1.553661808047023030e+00,1.909997706735527245e+01,4.514779553114971122e+01,4.271400274987377510e-02
7.624027647697699805e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.404166666999999791e+01,1.112685184999999954e+01,2.300602874499999828e+01,1.000000000000000000e+00,9.952846010290669621e-02,2.992921928716763205e+02,5.723272019313867531e+02,1.540800541482691077e+00,1.305310100645876581e+01,4.175403888387552342e+01,1.321893057183900766e-01
2.368124794865540039e+01,1.417805361000000062e+02,5.237395047999999775e+01,8.915833333000000493e+01,1.517870369999999802e+01,2.534704288000000005e+01,0.000000000000000000e+00,8.632770780379685205e-02,3.023100489117624647e+02,3.817089954366650772e+02,1.719894509739405164e+00,8.846962123532797762e+00,3.351151570258112145e+01,3.922489243520423802e-02
9.565010028498880601e+00,1.968250364000000161e+02,2.342197000000000173e+01,8.197499999999999432e+01,3.520370370000000193e+00,3.103997823919999988e+01,1.000000000000000000e+00,8.192296875431173686e-02,1.671672626581835175e+02,6.967680857334219127e+02,1.142142324126044217e+00,1.723910132626428648e+01,3.939928637479705031e+01,1.435887990409100978e-01
