# # iwNorthAvgTemp,diffuse solar w/m2,direct solar w/m2,OAH %,OAT C,Mull SWT C,Heat Mode,pitchedRoofInsuThickness,mullSurfaceMetalThickness,extWinU,extWinSHGC,intMass,infilRate
2.152895558550000032e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.117499999999999716e+01,4.980555555999999662e+00,3.691390574420000092e+01,1.000000000000000000e+00,1.354614752999999949e-01,4.000369499999999884e-03,1.887318904200000036e+00,3.611577686999999925e-01,8.172072778839999785e+01,9.828601750000000303e-02
2.635303367390000062e+01,9.290675518999999838e+01,1.906985248000000022e+00,6.831666667000000359e+01,3.624999999999999889e-01,4.121121694419999670e+01,1.000000000000000000e+00,1.502543343999999947e-01,1.749441999999999924e-03,2.013030681500000085e+00,5.540436692000000329e-01,6.736032498950000047e+01,2.212032706000000015e-01
2.373681764610000045e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.289166667000000643e+01,8.843055555999999484e+00,3.164388167079999903e+01,1.000000000000000000e+00,2.052770772999999993e-01,2.604408099999999931e-03,2.520198584600000125e+00,5.560408225999999843e-01,8.429365066169999920e+01,2.882391769999999992e-02
2.344111724260000074e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.879166666999999791e+01,9.735648147999999225e+00,2.824054126829999944e+01,1.000000000000000000e+00,1.369531133999999928e-01,3.186682599999999914e-03,2.120027930000000005e+00,6.463986151999999707e-01,5.886375001569999910e+01,3.746652899999999842e-02
2.238303050809999917e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.316666666999999791e+01,4.468055556000000372e+00,3.156819574580000065e+01,1.000000000000000000e+00,2.826103410999999954e-01,7.171501700000000069e-03,2.911191398899999783e+00,6.449741821000000153e-01,3.776802667350000320e+01,9.399714750000000285e-02
2.708529367270000066e+01,1.075024291999999981e+01,1.981486399999999870e-01,9.677500000000000568e+01,5.101851852000000243e+00,4.130300773249999935e+01,1.000000000000000000e+00,1.024730170999999940e-01,7.249107200000000362e-03,1.996312465299999950e+00,5.715395247000000234e-01,8.057043025570000339e+01,3.819551930000000123e-02
2.673121583729999884e+01,1.606985175000000083e+02,7.518548366999999644e+01,8.099166667000000075e+01,5.534259258999999709e+00,3.516222900420000030e+01,1.000000000000000000e+00,1.407425652000000027e-01,7.341627100000000343e-03,2.113115459399999896e+00,4.188590341999999800e-01,4.630559249280000245e+01,2.417737014000000129e-01
2.457506325059999952e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.190833332999999783e+01,9.142129629999999452e+00,2.205565397750000045e+01,1.000000000000000000e+00,7.753276039999999758e-02,9.021418200000000734e-03,1.605097869900000029e+00,5.476864547999999999e-01,6.184798874639999866e+01,2.717128231000000005e-01
2.518331604859999828e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.345833333000000209e+01,-1.332407407000000044e+00,2.060040672250000071e+01,1.000000000000000000e+00,2.864896102999999750e-01,8.542898700000000831e-03,2.255151304099999976e+00,5.128854558000000008e-01,7.781384780390000344e+01,1.540478300000000002e-02
2.528360454290000092e+01,1.246899671999999981e+02,5.431468289999999755e+00,8.025000000000000000e+01,3.386111110999999951e+00,3.823519032829999986e+01,1.000000000000000000e+00,9.352569589999999711e-02,8.496522100000000743e-03,1.880793361200000069e+00,5.404016830000000216e-01,3.274006596560000304e+01,1.762154773000000063e-01
3.030574336440000138e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.241666666999999791e+01,2.016250000000000142e+01,2.287570833330000042e+01,0.000000000000000000e+00,9.352569589999999711e-02,8.496522100000000743e-03,1.880793361200000069e+00,5.404016830000000216e-01,3.274006596560000304e+01,1.762154773000000063e-01
