# # cmbedY,diffuse solar w/m2,direct solar w/m2,OAH %,OAT C,Mull SWT C,Heat Mode,mullInsulationThickness,mullMetalConductivity,intMass,mullSurfaceArea,elecEquipDensityAll,infilRate
1.420179207514260078e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.288333332999999925e+01,6.824074079999999931e-01,4.399197949170000044e+01,1.000000000000000000e+00,4.784520284164430273e-03,3.453214754947491656e+02,4.404491668828317756e+02,1.317163411296506936e+00,4.338720503862523259e+01,2.790802695708061165e-01
2.188332648059299856e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.756666628000000685e+01,1.020879651000000088e+01,2.140762175920000132e+01,0.000000000000000000e+00,4.343856177575143931e-03,2.331860605868434391e+02,4.483154123053179774e+02,1.294269510747706464e+00,1.725251289739627936e+01,1.217133699319646739e-01
2.264144657844639852e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.330833332999999641e+01,-2.619907407999999993e+00,4.000294796250000218e+01,1.000000000000000000e+00,1.872992350182452236e-03,7.921006972509121624e+01,4.341379522731119778e+02,1.335447141698504536e+00,4.975496563218777624e+01,2.400618372503891262e-01
1.799086007778319951e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.010833332999999357e+01,1.363842593000000036e+01,2.228455416750000140e+01,8.333333330000000649e-02,3.856543308150043280e-03,2.008202979352984698e+02,8.024216324913143126e+02,1.493144657130721864e+00,2.184479693930597932e+01,2.593961463836109704e-01
2.108030938176339930e+01,2.468165584999999851e+02,3.747308594999999798e+01,5.369166666999999649e+01,-2.151851852000000065e+00,3.494485939670000363e+01,1.000000000000000000e+00,1.888181856860437265e-03,7.950667939481145652e+01,2.163148706564732606e+02,1.551634042568908800e+00,4.181269483162942890e+01,1.390343461762539312e-01
2.042932863567880020e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.790000000000000568e+01,2.109722221999999814e+00,3.145856624420000003e+01,1.000000000000000000e+00,1.907393469719062106e-03,3.806470300822282411e+02,8.040898939873529798e+02,1.170597435940315956e+00,8.026338660699130045e+00,1.091891114492213183e-01
2.146475446749289873e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.918333333000000351e+01,1.649074074000000056e+00,3.947888129670000268e+01,1.000000000000000000e+00,4.662094341519534314e-03,2.041540224397301984e+02,4.541943436250741115e+02,1.249032386541484740e+00,1.349859259054812455e+01,1.560532997131291455e-01
2.224869784285600005e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.970000000000000284e+01,1.768842593000000107e+01,2.370560762830000101e+01,0.000000000000000000e+00,4.675822760085586102e-03,8.456525584961391928e+01,7.014761529278114267e+02,1.475932571721718878e+00,9.587621012684643063e+00,2.008154379941252676e-01
4.871879976836039816e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.245833333000000209e+01,-1.121898148000000006e+01,5.021330328670000398e+01,1.000000000000000000e+00,1.696740055562385606e-03,2.960210799658342467e+02,8.227363034928872594e+02,1.561319732498515744e+00,5.128699788720134656e+00,1.378430940493717283e-01
2.216411307494220040e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.854999999999999716e+01,2.366666667000000057e+00,3.563705087999999677e+01,1.000000000000000000e+00,3.045963891885638750e-03,3.443891900964683259e+02,7.910683602110804031e+02,1.176947110772784910e+00,1.848356210884116990e+01,1.555315284418539237e-02
