# # cmbedY,diffuse solar w/m2,direct solar w/m2,OAH %,OAT C,Mull SWT C,Heat Mode
2.211838536999999860e+01,1.937954086999999825e+00,3.624244600000000038e-01,9.535833332999999357e+01,1.451851852000000065e+01,2.163483538330000044e+01,0.000000000000000000e+00
2.598340809000000107e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.114166667000000643e+01,2.722222222000000080e+00,3.803748666170000092e+01,1.000000000000000000e+00
2.149317122000000069e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.020833333000000209e+01,1.186898148000000042e+01,2.144469417999999905e+01,0.000000000000000000e+00
2.332707502999999960e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.968333332999999641e+01,1.529259258999999993e+01,2.400671551829999828e+01,0.000000000000000000e+00
1.835074625000000026e+01,6.629698319000000062e+00,8.192741119999999988e-01,9.654166666999999791e+01,7.508333332999999499e+00,4.582936963080000226e+01,1.000000000000000000e+00
2.120460368999999901e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.316666666999999791e+01,4.468055556000000372e+00,3.156819574580000065e+01,1.000000000000000000e+00
2.873279090000000036e+00,7.643943822999999327e+01,8.563818940000000168e+01,6.161666667000000075e+01,1.335972222000000009e+01,2.257450320829999768e+01,1.000000000000000000e+00
2.578374287000000109e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.845833333000000209e+01,2.585185184999999830e+00,3.801227913920000390e+01,1.000000000000000000e+00
2.091994249000000039e+01,4.167500236000000058e+01,3.005665048000000183e+02,8.604999999999999716e+01,-2.172685185000000185e+00,5.904772902749999730e+01,1.000000000000000000e+00
2.071121869999999987e+01,3.685053837999999971e+00,5.885914859999999971e-01,9.634166666999999507e+01,1.036527777999999955e+01,2.111285740750000173e+01,0.000000000000000000e+00
2.734655650000000104e+00,1.674008323000000189e+02,3.586525678999999514e+02,6.419166667000000359e+01,1.111203704000000059e+01,2.381551782420000052e+01,1.000000000000000000e+00
7.500714268999999490e+01,2.277404166999999813e+00,1.888633220000000001e+00,7.710833332999999357e+01,1.620370369999999949e-01,5.887896550829999853e+01,1.000000000000000000e+00
2.037910627000000119e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.951666667000000643e+01,-3.182870369999999838e+00,4.160953055579999926e+01,1.000000000000000000e+00
1.989386015999999913e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.771666666999999507e+01,-2.379166666999999791e+00,3.748843759329999870e+01,1.000000000000000000e+00
2.260196095999999955e+01,4.048846369000000323e+01,1.965099136000000044e+02,9.866666666999999791e+01,8.471759259000000597e+00,5.053942606420000061e+01,1.000000000000000000e+00
1.857045358999999962e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.419166667000000359e+01,-2.740277778000000275e+00,3.237630417670000327e+01,1.000000000000000000e+00
2.229024422999999899e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.389166667000000643e+01,6.910185184999999564e+00,3.653051086579999662e+01,1.000000000000000000e+00
2.097461789999999837e+01,1.161104212000000047e+02,3.797063861999999972e+02,4.895000000000000284e+01,-1.066666667000000013e+00,2.720546178580000074e+01,1.000000000000000000e+00
6.621718525000000000e+01,3.288222547000000162e+01,3.047304902000000126e+01,6.817499999999999716e+01,-5.859259258999999886e+00,6.611114800830000604e+01,1.000000000000000000e+00
1.606645042999999973e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.025833332999999925e+01,6.036111111000000307e+00,3.059755111579999820e+01,1.000000000000000000e+00
2.000113608999999926e+01,2.140293150999999838e+01,7.780415549999999847e+00,7.158333333000000209e+01,-1.027685184999999990e+01,6.663345657329999483e+01,1.000000000000000000e+00
4.590232860999999787e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.895833333000000209e+01,-5.240740741000000646e+00,5.228813148169999891e+01,1.000000000000000000e+00
2.434660769999999985e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.079166666999999791e+01,1.394675926000000032e+01,2.489371992919999954e+01,0.000000000000000000e+00
2.061238493999999832e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.350833332999999925e+01,-2.700462963000000105e+00,4.044384694499999711e+01,1.000000000000000000e+00
2.000038112000000012e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.765833333000000493e+01,-2.020833333000000120e+00,3.641451874999999916e+01,1.000000000000000000e+00
2.231949717999999905e+01,2.674644143000000085e+01,8.733994659999999577e-01,6.983333333000000209e+01,-3.564814799999999756e-02,6.446624902749999819e+01,1.000000000000000000e+00
2.601267487000000145e+01,1.685296428000000049e+02,6.309478397999998833e+02,4.899166667000000075e+01,2.398888888999999836e+01,2.442485279670000153e+01,0.000000000000000000e+00
2.915746033000000015e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.546666666999999507e+01,5.008333333999999581e+00,1.872454398580000046e+01,1.000000000000000000e+00
7.087039997999999841e+00,9.374983915999999340e+01,6.294872663999999673e+01,7.425000000000000000e+01,6.462037203999999591e+00,3.714014786079999908e+01,1.000000000000000000e+00
