EST,iw north average temp C,iw heating energy J,,,,
10/01/2017 15:00,22.85088212,192104463.78,,,,
10/01/2017 16:00,23.00151073,36107572.968,,,,
10/01/2017 17:00,22.81234467,137611958.94,,,,
10/01/2017 18:00,22.79078513,148458051.504,,,,
10/01/2017 19:00,23.01336189,43440525.252,,,,
10/01/2017 20:00,22.76826045,147848347.368,,,,
10/01/2017 21:00,22.65872017,16680483.2628,,,,
10/01/2017 22:00,22.27504702,65213432.1,,,,
10/01/2017 23:00,21.95911486,69068708.172,,,,
11/01/2017 0:00,21.65901567,78091140.06,,,,
11/01/2017 1:00,21.53465492,80096594.508,,,,
11/01/2017 2:00,21.57202487,75509650.512,,,,
11/01/2017 3:00,21.69801906,74084948.784,,,,
11/01/2017 4:00,21.65071713,76527742.788,,,,
11/01/2017 5:00,21.54054226,75991022.1,,,,
11/01/2017 6:00,21.44179655,80244879.228,,,,
11/01/2017 7:00,21.35788596,83576685.492,,,,
11/01/2017 8:00,21.5264415,244776362.796,,,,
11/01/2017 9:00,22.52006194,155565434.952,,,,
11/01/2017 10:00,23.11337601,25513343.9928,,,,
11/01/2017 11:00,22.98719524,61939881.468,,,,
11/01/2017 12:00,23.05372323,48817864.296,,,,
11/01/2017 13:00,23.24630882,44547840.396,,,,
11/01/2017 14:00,23.40528808,21596262.9588,,,,
11/01/2017 15:00,23.33580078,58900317.336,,,,
11/01/2017 16:00,23.28533112,47737708.596,,,,
11/01/2017 17:00,23.12152148,55210496.508,,,,
11/01/2017 18:00,22.94575442,58822786.98,,,,
11/01/2017 19:00,22.69346752,63402807.672,,,,
11/01/2017 20:00,22.62648592,125372938.536,,,,
11/01/2017 21:00,22.75049689,22214662.5888,,,,
11/01/2017 22:00,22.46633303,55278447.48,,,,
11/01/2017 23:00,22.37616508,54303812.136,,,,
12/01/2017 0:00,22.36827573,49374802.8,,,,
12/01/2017 1:00,22.37624363,26339675.49,,,,
12/01/2017 2:00,22.28767064,0,,,,
12/01/2017 3:00,22.13386242,0,,,,
12/01/2017 4:00,21.96535288,0,,,,
12/01/2017 5:00,21.84206427,0,,,,
12/01/2017 6:00,21.74938177,0,,,,
12/01/2017 7:00,21.68302225,0,,,,
12/01/2017 8:00,21.63507779,0,,,,
12/01/2017 9:00,21.61222651,0,,,,
12/01/2017 10:00,21.59849007,0,,,,
12/01/2017 11:00,21.66601073,0,,,,
12/01/2017 12:00,21.77417488,0,,,,
12/01/2017 13:00,21.99214651,0,,,,
12/01/2017 14:00,22.112921,0,,,,
12/01/2017 15:00,22.25479839,0,,,,
12/01/2017 16:00,22.21890335,0,,,,
12/01/2017 17:00,22.11838537,0,,,,
12/01/2017 18:00,21.94294833,0,,,,
12/01/2017 19:00,21.94094377,0,,,,
12/01/2017 20:00,22.18447329,217336938.588,,,,
12/01/2017 21:00,22.91624493,19004002.5744,,,,
12/01/2017 22:00,22.68876124,36342089.208,,,,
12/01/2017 23:00,22.30849176,59498719.308,,,,
13/01/2017 0:00,22.00259094,66089118.852,,,,
13/01/2017 1:00,21.75525087,70944626.952,,,,
13/01/2017 2:00,21.64026469,73043819.568,,,,
13/01/2017 3:00,21.47943539,77548964.004,,,,
13/01/2017 4:00,21.33488599,82498221.288,,,,
13/01/2017 5:00,21.26485552,84948242.544,,,,
13/01/2017 6:00,21.19642238,86694470.856,,,,
13/01/2017 7:00,21.10400198,90143258.076,,,,
13/01/2017 8:00,21.3332552,279136403.352,,,,
13/01/2017 9:00,22.37055009,195570394.992,,,,
13/01/2017 10:00,23.07137033,20007402.1884,,,,
