Date/Time,EMS:IW North Zone Average Temperature [C](TimeStep),EMS:IW Calculated Heating Demand [KW](TimeStep) 
 01/14  08:00:00,20.472563293822,12.6202154778565 
 01/14  09:00:00,20.3027129753672,26.9460906941262 
 01/14  10:00:00,20.2343446045711,50.3015866921636 
 01/14  11:00:00,20.5031034607902,53.474420341124 
 01/14  12:00:00,20.9070391569509,54.3302457713603 
 01/14  13:00:00,21.349072357963,54.3517877981906 
 01/14  14:00:00,21.7941807712154,48.5818680275744 
 01/14  15:00:00,22.2753049674358,44.3283395350579 
 01/14  16:00:00,22.5852762240739,35.5256076677987 
 01/14  17:00:00,22.6424729395252,37.1680346925382 
 01/14  18:00:00,22.6200673849186,36.9179280249383 
 01/14  19:00:00,22.5804884485763,36.5191954542456 
 01/14  20:00:00,22.5435596539034,29.8548527632186 
 01/14  21:00:00,22.5082762837783,27.5368853654829 
 01/14  22:00:00,22.4634982862918,25.4087760271282 
 01/14  23:00:00,22.4028029767789,24.1195151419569 
 01/14  24:00:00,22.3260627143378,23.1601284935842 
 01/15  01:00:00,22.2374564821442,22.0800369514066 
 01/15  02:00:00,22.1363933629661,21.5949064464088 
 01/15  03:00:00,22.025584082289,20.9345135538106 
 01/15  04:00:00,21.8946297364653,19.535173350053 
 01/15  05:00:00,21.7490420304552,23.4289654923603 
 01/15  06:00:00,21.5670142100254,21.2519798912243 
 01/15  07:00:00,21.3057722364186,19.8958909882272 
 01/15  08:00:00,21.0413942533502,19.2583373726345 
 01/15  09:00:00,20.7735131054683,17.6459621101607 
 01/15  10:00:00,20.5559077219435,37.0477906316177 
 01/15  11:00:00,20.6407383400575,48.3484166962948 
 01/15  12:00:00,21.1414895895971,48.1681164699731 
 01/15  13:00:00,22.3388391665833,41.5811605681021 
 01/15  14:00:00,23.2009880153998,38.6198752211796 
 01/15  15:00:00,23.3867497175877,36.5487092689735 
 01/15  16:00:00,23.4581322860981,33.9945358564251 
 01/15  17:00:00,23.4861129547689,33.9531676435367 
 01/15  18:00:00,23.4521260588308,33.2426606669438 
 01/15  19:00:00,23.3211762789436,31.3749570820939 
 01/15  20:00:00,23.1623600106634,24.7973356927581 
 01/15  21:00:00,22.9869354141796,23.6134863974186 
 01/15  22:00:00,22.778427546336,22.2733318765112 
 01/15  23:00:00,22.5439727868569,22.7014420090433 
 01/15  24:00:00,22.2845810165977,21.6130826276199 
 01/16  01:00:00,22.0031491910822,20.2141203537211 
 01/16  02:00:00,21.7489144132985,16.6980540188252 
 01/16  03:00:00,21.5386552845677,16.1384777210791 
 01/16  04:00:00,21.3747351354606,15.6798370571297 
 01/16  05:00:00,21.199793280579,18.0144924114671 
 01/16  06:00:00,20.9629572688943,17.1399253489575 
 01/16  07:00:00,20.6417158463992,16.6819325126683 
 01/16  08:00:00,20.3265256835944,36.9039247800941 
 01/16  09:00:00,20.1949961663378,51.6611800453134 
 01/16  10:00:00,20.7510072176674,53.1884472969607 
 01/16  11:00:00,21.840360849388,46.0497324575939 
 01/16  12:00:00,22.720124479222,42.0641446824349 
 01/16  13:00:00,23.2722521971122,38.0878905820959 
 01/16  14:00:00,23.427473344048,35.6467747147834 
 01/16  15:00:00,23.533484018442,34.321828360026 
 01/16  16:00:00,23.7651358757555,27.2149867281147 
 01/16  17:00:00,23.8747734989309,30.4056704655243 
 01/16  18:00:00,23.8582027404415,28.6832314445784 
 01/16  19:00:00,23.7323215025256,27.5707512176211 
 01/16  20:00:00,23.3773976120877,25.7959937502793 
 01/16  21:00:00,23.0166357847292,20.0504029982328 
 01/16  22:00:00,22.7236698055805,19.487899418018 
 01/16  23:00:00,22.4544083731113,18.0559777830466 
 01/16  24:00:00,22.2043405751805,16.753450310081 
 01/17  01:00:00,21.9820336747195,13.7488140343227 
 01/17  02:00:00,21.8245273155674,13.2668705251741 
 01/17  03:00:00,21.7055817163378,13.0954463881051 
 01/17  04:00:00,21.5882842947603,11.7477490152972 
 01/17  05:00:00,21.4705296219875,11.5279635321289 
 01/17  06:00:00,21.3460255114897,11.3926575706294 
 01/17  07:00:00,21.223801228363,11.0778667066454 
 01/17  08:00:00,21.1171023190336,13.0146609888106 
 01/17  09:00:00,21.0354037389864,35.2448486191807 
 01/17  10:00:00,21.3455191703525,46.3680223380462 
 01/17  11:00:00,22.4492580071042,0.0 
 01/17  12:00:00,22.9110923419975,0.0 
 01/17  13:00:00,22.8835828264925,0.0 
 01/17  14:00:00,22.6725071250956,0.0 
 01/17  15:00:00,22.5764289098974,0.0 
 01/17  16:00:00,22.8967351192013,0.0 
 01/17  17:00:00,23.1552188570405,0.0 
 01/17  18:00:00,23.1873471761422,0.0 
 01/17  19:00:00,23.0637695975382,0.0 
 01/17  20:00:00,22.7576350068995,0.0 
 01/17  21:00:00,22.4001601026712,0.0 
 01/17  22:00:00,22.0854178964386,0.0 
 01/17  23:00:00,21.8677261843801,0.0 
 01/17  24:00:00,21.6782971837061,0.0 
 01/18  01:00:00,21.487195596678,0.0 
 01/18  02:00:00,21.3744259040073,0.0 
 01/18  03:00:00,21.2448983231666,0.0 
 01/18  04:00:00,21.1113094026255,39.0462515959884 
 01/18  05:00:00,21.9123268630639,28.4571964517661 
 01/18  06:00:00,22.5370734406043,27.2627877661969 
 01/18  07:00:00,22.7496114704086,25.5187849814923 
 01/18  08:00:00,22.8002545942456,23.2885711811593 
 01/18  09:00:00,22.7641954421324,28.2838436894707 
 01/18  10:00:00,22.8613816268199,25.7779475838715 
 01/18  11:00:00,23.0896104026599,24.6325802822385 
 01/18  12:00:00,23.3466706226354,18.4684788007087 
 01/18  13:00:00,23.4590060002233,21.5067965113258 
 01/18  14:00:00,23.3565517925756,16.5367506583098 
 01/18  15:00:00,23.2832265871487,20.4544211885298 
 01/18  16:00:00,23.4438128391057,16.3480357531633 
 01/18  17:00:00,23.5138337725119,18.1928684853913 
 01/18  18:00:00,23.437101679114,16.6891718457549 
 01/18  19:00:00,23.2596086151803,16.6764419409069 
 01/18  20:00:00,22.8567304305993,17.0673692834633 
 01/18  21:00:00,22.446824566184,13.5591925679064 
 01/18  22:00:00,22.1088808666422,10.9473520970303 
 01/18  23:00:00,21.8525841276241,12.9256481286329 
 01/18  24:00:00,21.6275910381218,12.2143621174746 
 01/19  01:00:00,21.3298300400679,11.7907133033559 
 01/19  02:00:00,21.0820300238215,9.66028996456308 
 01/19  03:00:00,20.8935668080004,9.22508739231739 
 01/19  04:00:00,20.7589447652639,8.89620861739511 
 01/19  05:00:00,20.6233161443808,8.61459016835118 
 01/19  06:00:00,20.4798507083379,8.28176282745557 
 01/19  07:00:00,20.3428121070336,17.451168293493 
 01/19  08:00:00,20.3124661115614,47.4268598483921 
 01/19  09:00:00,20.6616917665659,51.1912353990454 
 01/19  10:00:00,21.5308107851655,51.2407428281214 
 01/19  11:00:00,22.7717538806426,45.7608869982118 
 01/19  12:00:00,23.6313405498984,41.4459190686008 
 01/19  13:00:00,24.047682500612,39.5815747164533 
 01/19  14:00:00,24.1139500138243,36.5495397164943 
 01/19  15:00:00,24.2399793392655,33.1721423136 
 01/19  16:00:00,24.5812422398913,31.0024352402314 
 01/19  17:00:00,24.9015893945066,28.9739338338824 
 01/19  18:00:00,24.9556132440786,28.4594228666161 
 01/19  19:00:00,24.8327407767468,25.8735018900887 
 01/19  20:00:00,24.4767364804392,26.0127461947007 
 01/19  21:00:00,24.0666285599831,21.2239569025648 
 01/19  22:00:00,23.7078728575474,20.4063308146324 
 01/19  23:00:00,23.3673314572251,19.9922048867123 
 01/19  24:00:00,23.0023368812121,17.9283446047121 
 01/20  01:00:00,22.6745578611585,16.3665592440318 
 01/20  02:00:00,22.43340564861,14.0456809282711 
 01/20  03:00:00,22.235619297347,13.6552143686612 
 01/20  04:00:00,22.0872788138584,13.4211171512491 
 01/20  05:00:00,21.9345492708348,11.9536094038369 
 01/20  06:00:00,21.7867451571253,12.7427317762564 
 01/20  07:00:00,21.6345037150247,12.7986608650474 
 01/20  08:00:00,21.4846532179891,15.0200447470877 
 01/20  09:00:00,21.3585668124721,38.1402693710978 
 01/20  10:00:00,21.5521727408927,52.784834645509 
 01/20  11:00:00,22.4420610115203,40.5513986637739 
 01/20  12:00:00,23.5951003086365,35.5217909053323 
 01/20  13:00:00,24.1487581071908,32.5191013375162 
 01/20  14:00:00,24.3029798460292,30.0172141178561 
 01/20  15:00:00,24.4714342622373,0.0 
 01/20  16:00:00,24.4526644384653,0.0 
 01/20  17:00:00,24.330775193001,0.0 
 01/20  18:00:00,24.1371167311665,0.0 
 01/20  19:00:00,23.8759049622963,0.0 
 01/20  20:00:00,23.4125210609172,0.0 
 01/20  21:00:00,22.979192187073,0.0 
 01/20  22:00:00,22.6559643776397,0.0 
 01/20  23:00:00,22.4371155928687,0.0 
 01/20  24:00:00,22.2364638969092,0.0 
 01/21  01:00:00,21.9780472759203,0.0 
 01/21  02:00:00,21.7923184717984,0.0 
 01/21  03:00:00,21.6458669248791,31.1838345362171 
 01/21  04:00:00,21.8991874749378,24.7132329251414 
 01/21  05:00:00,22.073278821265,19.9189158330087 
 01/21  06:00:00,22.0875857243509,19.3273696383731 
 01/21  07:00:00,22.058216566674,18.3336521802276 
 01/21  08:00:00,22.0246066822434,17.7376772916075 
 01/21  09:00:00,21.97533576561,20.62421653345 
 01/21  10:00:00,21.9198929623353,21.7884763110513 
 01/21  11:00:00,21.9233283501557,0.0 
 01/21  12:00:00,21.6604042246939,0.0 
 01/21  13:00:00,21.5618350808616,0.0 
 01/21  14:00:00,21.6562800686585,0.0 
 01/21  15:00:00,21.7693907975708,0.0 
 01/21  16:00:00,21.8684880898681,0.0 
 01/21  17:00:00,21.9390320184596,0.0 
 01/21  18:00:00,22.0006258360331,0.0 
 01/21  19:00:00,22.0118972325727,0.0 
 01/21  20:00:00,21.9685262405467,0.0 
 01/21  21:00:00,21.8802476824171,0.0 
 01/21  22:00:00,21.7740974821563,0.0 
 01/21  23:00:00,21.6378470348541,0.0 
 01/21  24:00:00,21.4932516976626,0.0 
 01/22  01:00:00,21.3785512792503,0.0 
