# # iw north average temp C,diffuse solar w/m2,direct solar w/m2,OAH %,OAT C,Mull SWT C,Heat Mode
2.023630756000000019e+01,5.592498324000000309e+01,5.854388927000000464e+00,7.440833333000000493e+01,-1.946296295999999870e+00,5.677917513829999763e+01,1.000000000000000000e+00
2.514897295999999827e+01,1.331406542000000002e+02,5.102884227000000124e+02,5.626666666999999933e+01,1.983333332999999854e+01,2.334384201079999954e+01,0.000000000000000000e+00
2.314656789999999731e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.064166667000000643e+01,1.367500000000000071e+01,2.324009264920000106e+01,0.000000000000000000e+00
2.348408690999999848e+01,1.513421242999999947e+02,3.141115276000000023e+01,9.172499999999999432e+01,1.436064814999999939e+01,2.635231957919999957e+01,5.833333333000000342e-01
2.051377782999999866e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.840833333000000493e+01,-1.526388889000000137e+00,4.119023694420000226e+01,1.000000000000000000e+00
2.058630112999999895e+01,7.453745376000000533e+01,1.806437990000000049e+00,9.669166667000000359e+01,1.314166666999999933e+01,2.105145836999999887e+01,1.000000000000000000e+00
1.961946809000000158e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.116666666999999791e+01,-1.062268519000000033e+01,4.513603634420000077e+01,1.000000000000000000e+00
2.101276395000000008e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.404999999999999716e+01,-2.243981481000000056e+00,3.488435630920000108e+01,1.000000000000000000e+00
2.264528766000000104e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.254166666999999791e+01,-3.627777778000000009e+00,3.841255995670000090e+01,1.000000000000000000e+00
2.278109234000000072e+01,1.211796030000000002e+02,1.747472843000000164e+00,6.445000000000000284e+01,1.419814814999999975e+01,2.205387360170000122e+01,1.000000000000000000e+00
2.362618549000000101e+01,1.320027954000000250e+02,3.839610604000000080e+02,6.781025547000000131e+01,1.882980786999999978e+01,2.371817070330000021e+01,0.000000000000000000e+00
2.022487257999999954e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.127499999999999858e+01,-5.537037037000000161e+00,4.163566060080000142e+01,1.000000000000000000e+00
