# # iwNorthAvgTemp,diffuse solar w/m2,direct solar w/m2,OAH %,OAT C,Mull SWT C,Heat Mode,elecEquipDensityHigh,elecEquipDensityLow,mullMetalConductivity,intMass,infilRate
2.230616810388179871e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.879999999999999716e+01,1.529861110999999951e+01,2.248507016579999984e+01,0.000000000000000000e+00,2.999839263846325110e+01,6.674501807831270561e+00,3.409964273688440244e+02,3.427415724396834094e+02,1.111836798285266853e-01
2.574300408706400134e+01,1.284616547999999909e+02,7.927812754000000268e+02,5.348333333000000067e+01,9.957870370000000193e+00,2.511082700000000045e+01,1.000000000000000000e+00,2.538178222068718171e+01,1.475704726684548440e+01,1.627583297997259422e+02,2.802749785065000765e+02,3.408198463720873983e-02
2.443774837957489865e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.516666666999999791e+01,1.472777778000000026e+01,2.237263099579999803e+01,0.000000000000000000e+00,3.116662982223078160e+01,2.242658519772458803e+01,2.269948709487964607e+02,3.587027865537920661e+02,4.500197632936601272e-02
2.303004192733950006e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.933333333000000209e+01,-1.305555559999999893e-01,3.480066844080000266e+01,1.000000000000000000e+00,2.917043734413608647e+01,9.535611895767459600e+00,1.803844535418655255e+02,8.703462809551458577e+02,3.983846164405935308e-02
2.504287266797890155e+01,1.708706890999999928e+02,2.446431486999999834e+02,7.365000000000000568e+01,1.520462962999999945e+01,2.418071631500000152e+01,0.000000000000000000e+00,3.952350442004964748e+01,1.209945602793380104e+01,9.553498946636571532e+01,2.107097330671921895e+02,2.382337482667049033e-01
2.423996164031980172e+01,8.958625213000000542e+01,8.300976960000000417e+02,2.825000000000000000e+01,1.376805556000000053e+01,2.236049192750000003e+01,1.000000000000000000e+00,2.628055370444897321e+01,2.042447338657977696e+01,7.180662689024941869e+01,9.603209852771370834e+02,1.784894394933067008e-01
2.195518911002229956e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.500833332999999925e+01,5.388888888999999516e+00,1.931818184750000000e+01,1.000000000000000000e+00,2.823436463404851438e+01,6.579615277261929407e+00,2.187333436049518696e+02,3.509459503971182812e+02,4.229149628996024118e-02
2.360703791836180088e+01,4.080062239000000091e+01,3.951143533999999846e+00,8.158333333000000209e+01,-5.092592593000000001e+00,5.259741921330000025e+01,1.000000000000000000e+00,3.944612518350083974e+01,1.222620853748517789e+01,1.050698664602582824e+02,5.803977392790496879e+02,2.092294073220181960e-01
2.147482873016900129e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.909999999999999432e+01,-2.888888888999999960e+00,4.234946212919999908e+01,1.000000000000000000e+00,3.434858740931014864e+01,1.836366815528169738e+01,2.607575669933199833e+02,8.776221178194072081e+02,2.694945991077093428e-01
2.666406390179410124e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.867499999999999716e+01,1.957083332999999925e+01,2.531734463000000090e+01,0.000000000000000000e+00,3.625964233759687261e+01,2.464768649411095325e+01,3.160731781619517164e+02,7.714519560006860956e+02,2.588358645689332049e-01
2.417089391772670126e+01,6.085320137000000074e+01,4.064510460000000380e-01,7.663333332999999925e+01,3.095370369999999927e+00,3.794400568999999734e+01,1.000000000000000000e+00,3.275867317052130545e+01,1.940223239069248251e+01,2.882583136288290575e+02,7.291567306268817674e+02,2.150571660761424753e-01
2.346394199096139843e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.665000000000000568e+01,1.029212962999999981e+01,2.808529649169999942e+01,1.000000000000000000e+00,3.676066836574413088e+01,1.306456447894711204e+01,3.701267998701761712e+02,5.758421463371375921e+02,1.712589413817169615e-01
2.336808291348820177e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.348333332999999357e+01,6.939351852000000598e+00,2.156221687580000079e+01,1.000000000000000000e+00,3.963862186609914318e+01,2.019025933644379478e+01,2.456189797089800209e+02,9.705963787423223721e+02,1.311452201281023966e-01
2.386154156582569996e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.920000000000000284e+01,5.071759258999999354e+00,3.111682551920000250e+01,1.000000000000000000e+00,4.461407419798196372e+01,1.507398741156239552e+01,2.642309639905688528e+02,6.065654659957367585e+02,1.949303162580171001e-01
2.284043299727699861e+01,8.561680259999999709e-01,4.298598429999999637e-01,7.003333333000000493e+01,3.350925926000000388e+00,5.846859323999999702e+01,1.000000000000000000e+00,4.676034730368962755e+01,1.655511732668480107e+01,2.212665127747025338e+02,2.202774971678114468e+02,1.998166373471015334e-01
2.112342681102819952e+01,2.259267873999999949e+02,4.841709445000000187e+02,4.610000000000000142e+01,3.947222221999999725e+00,3.447725575829999656e+01,1.000000000000000000e+00,4.988919121661439249e+01,1.538837217726702988e+01,1.327391357101960239e+02,6.156632553405347608e+02,2.926953987323571149e-01
2.503817499670239854e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.392499999999999716e+01,1.379953704000000059e+01,2.428448101920000113e+01,0.000000000000000000e+00,2.823436463404851438e+01,6.579615277261929407e+00,2.187333436049518696e+02,3.509459503971182812e+02,4.229149628996024118e-02
2.506630675160399946e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.410833332999999357e+01,1.423333333000000067e+01,2.430568957999999924e+01,0.000000000000000000e+00,4.443673055302721764e+01,6.147275089663329695e+00,1.765371170078441878e+02,3.013337798030617023e+02,6.871672707493332866e-02
2.064845333092700130e+01,1.827821265999999696e+02,4.504218617999999879e+02,5.360000000000000142e+01,-1.628240740999999936e+00,4.441793858249999971e+01,1.000000000000000000e+00,2.948809906985647444e+01,7.136901992899578495e+00,2.898498150105148170e+02,8.922784682754044070e+02,1.207768764915150977e-01
2.287881366973270048e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.295833333000000209e+01,-8.648148150000000145e-01,4.023534236079999715e+01,1.000000000000000000e+00,4.838085965371335107e+01,2.429542602801890894e+01,2.382537080055991225e+02,9.553593453929789803e+02,2.333112101981661968e-01
2.513111939115109905e+01,2.582491502999999966e+01,1.407462183000000033e+00,9.864166667000000643e+01,8.395370370000000193e+00,3.392750592080000160e+01,1.000000000000000000e+00,3.641694937726983028e+01,8.388530835402761454e+00,2.206710244406710615e+02,3.180611792362977326e+02,2.619710196958555809e-02
2.362068899330709826e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.242499999999999716e+01,1.401851851999999843e+00,3.184695992079999982e+01,1.000000000000000000e+00,2.804769945957122346e+01,1.849340329290389207e+01,9.136139185389004069e+01,9.111916143137042354e+02,1.011045869129422042e-01
2.005439302532940005e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.970833333000000209e+01,-7.437500000000000000e+00,4.254355675749999932e+01,1.000000000000000000e+00,3.533805430773077205e+01,9.180496979097604537e+00,6.781553572694650711e+01,7.829960967169922696e+02,1.973601767233511828e-01
2.337736499658409883e+01,1.563568732999999895e+02,2.726822380999999851e+01,8.422499999999999432e+01,1.525462963000000016e+01,2.150646038420000039e+01,0.000000000000000000e+00,3.542728714636014331e+01,2.416561768681777878e+01,1.925147617284500541e+02,5.537334160456730388e+02,2.893459645199898400e-01
2.288809858858990154e+01,4.727351248999999811e+00,1.933353480999999929e+00,9.862500000000000000e+01,1.124166667000000075e+01,3.166246994999999842e+01,3.333333332999999787e-01,2.504891922894137224e+01,1.465190864664335457e+01,6.323281299359975094e+01,8.232504584324084362e+02,1.612746616839245972e-01
2.174563825215680168e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.414166667000000643e+01,3.957870370000000193e+00,3.221221620330000235e+01,1.000000000000000000e+00,2.117868094003331336e+01,2.056060082063420325e+01,1.439053941371002452e+02,8.578754838320262479e+02,1.842508125757259529e-01
